player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s_gk,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk
Adrián,es ESP,GK,Liverpool,33-338,1987,2.0,2.0,180.0,9.0,4.5,16.0,7.0,0.438,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,7.1,0.45,-1.9,-0.93,9.0,25.0,36.0,48.0,14.0,37.5,36.0,14.0,50.0,38.7,18.0,2.0,11.1,0.0,0.0,12.3
Alisson,br BRA,GK,Liverpool,28-065,1992,8.0,8.0,720.0,8.0,1.0,20.0,14.0,0.7,6.0,2.0,0.0,2.0,25.0,5.0,2.0,1.0,2.0,8.0,0.0,0.0,0.0,8.8,0.36,0.8,0.1,37.0,86.0,43.0,215.0,33.0,30.7,33.2,45.0,44.4,40.1,49.0,1.0,2.0,7.0,0.88,16.7
Saturnin Allagbé,bj BEN,GK,Dijon,27-014,1993,4.0,4.0,360.0,8.0,2.0,20.0,12.0,0.6,0.0,2.0,2.0,1.0,25.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,6.1,0.3,-1.9,-0.48,20.0,53.0,37.7,103.0,20.0,40.8,35.1,27.0,40.7,34.9,35.0,0.0,0.0,5.0,1.25,16.4
Nícolas Andrade,br BRA,GK,Udinese,32-238,1988,2.0,2.0,180.0,5.0,2.5,7.0,2.0,0.286,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.58,-1.0,-0.48,6.0,13.0,46.2,31.0,5.0,25.8,32.1,9.0,55.6,47.4,16.0,0.0,0.0,0.0,0.0,15.2
Alphonse Areola,fr FRA,GK,Fulham,27-283,1993,10.0,10.0,900.0,18.0,1.8,55.0,40.0,0.727,2.0,1.0,7.0,1.0,10.0,3.0,3.0,0.0,0.0,10.0,0.0,1.0,0.0,19.2,0.31,1.2,0.12,50.0,112.0,44.6,192.0,54.0,38.0,33.5,65.0,60.0,45.1,91.0,16.0,17.6,5.0,0.5,13.0
Kepa Arrizabalaga,es ESP,GK,Chelsea,26-064,1994,3.0,3.0,270.0,6.0,2.0,14.0,8.0,0.571,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.8,0.34,-1.2,-0.42,21.0,40.0,52.5,79.0,17.0,34.2,32.2,27.0,48.1,40.0,27.0,4.0,14.8,0.0,0.0,14.0
Sergio Asenjo,es ESP,GK,Villarreal,31-161,1989,11.0,11.0,990.0,12.0,1.09,32.0,24.0,0.688,5.0,5.0,1.0,3.0,27.3,2.0,2.0,0.0,0.0,11.0,0.0,1.0,1.0,9.1,0.23,-0.9,-0.08,69.0,147.0,46.9,311.0,69.0,34.7,35.9,77.0,50.6,42.6,134.0,19.0,14.2,5.0,0.45,11.9
Emil Audero,it ITA,GK,Sampdoria,23-323,1997,9.0,9.0,810.0,15.0,1.67,40.0,28.0,0.675,3.0,2.0,4.0,1.0,11.1,2.0,2.0,0.0,0.0,9.0,0.0,4.0,1.0,12.5,0.28,-1.5,-0.16,55.0,136.0,40.4,235.0,46.0,43.4,36.5,69.0,49.3,40.3,99.0,6.0,6.1,3.0,0.33,12.2
Édgar Badía,es ESP,GK,Elche,28-298,1992,9.0,9.0,810.0,10.0,1.11,42.0,33.0,0.786,3.0,4.0,2.0,3.0,33.3,3.0,1.0,1.0,1.0,9.0,0.0,2.0,0.0,12.6,0.26,2.6,0.29,71.0,157.0,45.2,290.0,47.0,35.2,34.4,79.0,69.6,45.4,119.0,10.0,8.4,8.0,0.89,13.7
Oliver Baumann,de GER,GK,Hoffenheim,30-187,1990,8.0,8.0,720.0,15.0,1.87,44.0,28.0,0.682,2.0,2.0,4.0,0.0,0.0,2.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,17.3,0.38,2.3,0.29,49.0,143.0,34.3,283.0,41.0,40.3,35.8,72.0,40.3,38.1,78.0,2.0,2.6,14.0,1.75,16.9
Walter Benítez,ar ARG,GK,Nice,27-262,1993,11.0,11.0,990.0,15.0,1.36,51.0,37.0,0.765,5.0,2.0,4.0,3.0,27.3,3.0,3.0,0.0,0.0,11.0,0.0,3.0,0.0,14.6,0.24,-0.4,-0.03,33.0,94.0,35.1,310.0,47.0,24.2,28.2,87.0,21.8,28.2,99.0,12.0,12.1,6.0,0.55,12.2
Paul Bernardoni,fr FRA,GK,Angers,23-232,1997,12.0,12.0,1080.0,22.0,1.83,57.0,36.0,0.649,6.0,1.0,5.0,2.0,16.7,2.0,2.0,0.0,0.0,12.0,0.0,2.0,0.0,19.5,0.31,-2.5,-0.21,48.0,144.0,33.3,210.0,72.0,44.8,39.0,79.0,63.3,48.3,115.0,7.0,6.1,2.0,0.17,12.0
Dimitry Bertaud,fr FRA,GK,Montpellier,22-183,1998,3.0,2.0,225.0,1.0,0.4,5.0,5.0,1.0,2.0,0.0,0.0,2.0,100.0,1.0,1.0,0.0,0.0,2.5,0.0,0.0,0.0,2.0,0.22,1.0,0.39,36.0,61.0,59.0,70.0,13.0,62.9,44.5,20.0,85.0,60.6,19.0,2.0,10.5,0.0,0.0,11.9
Rubén Blanco,es ESP,GK,Celta Vigo,25-134,1995,5.0,5.0,450.0,10.0,2.0,19.0,10.0,0.526,2.0,1.0,2.0,1.0,20.0,1.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,8.4,0.41,-1.6,-0.32,21.0,75.0,28.0,117.0,22.0,43.6,35.6,39.0,61.5,43.7,48.0,1.0,2.1,2.0,0.4,15.7
Yassine Bounou,ma MAR,GK,Sevilla,29-245,1991,7.0,7.0,630.0,6.0,0.86,23.0,18.0,0.739,3.0,1.0,3.0,2.0,28.6,0.0,0.0,0.0,0.0,7.0,0.0,1.0,1.0,6.2,0.27,1.2,0.17,33.0,77.0,42.9,167.0,28.0,29.3,32.1,41.0,68.3,48.2,65.0,3.0,4.6,3.0,0.43,13.5
Claudio Bravo,cl CHI,GK,Betis,37-237,1983,7.0,7.0,630.0,15.0,2.14,32.0,19.0,0.594,3.0,0.0,4.0,2.0,28.6,3.0,2.0,1.0,0.0,7.0,0.0,2.0,1.0,15.1,0.42,1.1,0.15,51.0,121.0,42.1,206.0,31.0,49.0,40.6,32.0,62.5,48.2,44.0,3.0,6.8,2.0,0.29,12.1
Gianluigi Buffon,it ITA,GK,Juventus,42-313,1978,3.0,3.0,270.0,2.0,0.67,5.0,4.0,0.8,2.0,1.0,0.0,1.0,33.3,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.1,0.25,0.1,0.04,9.0,21.0,42.9,82.0,14.0,23.2,28.6,28.0,7.1,18.6,21.0,0.0,0.0,4.0,1.33,15.8
Roman Bürki,ch SUI,GK,Dortmund,30-022,1990,8.0,8.0,720.0,10.0,1.25,23.0,14.0,0.609,4.0,1.0,3.0,3.0,37.5,1.0,1.0,0.0,0.0,8.0,0.0,2.0,0.0,7.3,0.3,-2.7,-0.33,23.0,67.0,34.3,191.0,37.0,30.9,32.1,35.0,22.9,29.2,43.0,3.0,7.0,0.0,0.0,13.0
Marcin Bułka,pl POL,GK,Paris S-G,21-063,1999,1.0,1.0,90.0,1.0,1.0,3.0,2.0,0.667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.3,0.45,0.3,0.32,2.0,5.0,40.0,28.0,9.0,17.9,25.5,2.0,0.0,21.5,7.0,0.0,0.0,2.0,2.0,13.1
Willy Caballero,ar ARG,GK,Chelsea,39-069,1981,1.0,1.0,90.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.5,0.49,-1.5,-1.54,1.0,3.0,33.3,20.0,2.0,15.0,24.6,6.0,0.0,19.7,8.0,0.0,0.0,2.0,2.0,22.0
Dani Cárdenas,es ESP,GK,Levante,23-253,1997,1.0,1.0,90.0,1.0,1.0,4.0,3.0,0.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.26,0.0,0.03,3.0,7.0,42.9,22.0,4.0,27.3,30.5,7.0,14.3,18.4,16.0,2.0,12.5,1.0,1.0,15.3
Koen Casteels,be BEL,GK,Wolfsburg,28-164,1992,9.0,9.0,810.0,9.0,1.0,28.0,21.0,0.714,4.0,5.0,0.0,3.0,33.3,2.0,1.0,1.0,0.0,9.0,0.0,2.0,1.0,8.9,0.28,0.9,0.1,68.0,154.0,44.2,273.0,48.0,41.4,37.2,57.0,71.9,54.1,81.0,10.0,12.3,3.0,0.33,14.3
Alberto Cifuentes,es ESP,GK,Cádiz,41-191,1979,2.0,2.0,180.0,3.0,1.5,6.0,3.0,0.5,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.8,0.29,-1.2,-0.62,25.0,63.0,39.7,53.0,3.0,92.5,59.7,16.0,87.5,61.1,17.0,1.0,5.9,2.0,1.0,14.3
Andrea Consigli,it ITA,GK,Sassuolo,33-314,1987,9.0,9.0,810.0,12.0,1.33,42.0,32.0,0.738,5.0,3.0,1.0,3.0,33.3,1.0,1.0,0.0,0.0,9.0,0.0,0.0,1.0,12.3,0.27,1.3,0.15,58.0,119.0,48.7,262.0,43.0,39.3,33.2,55.0,29.1,28.8,80.0,7.0,8.8,6.0,0.67,15.4
Alex Cordaz,it ITA,GK,Crotone,37-340,1983,9.0,9.0,810.0,20.0,2.22,46.0,27.0,0.609,0.0,2.0,7.0,1.0,11.1,2.0,2.0,0.0,0.0,9.0,1.0,1.0,0.0,18.0,0.36,-2.0,-0.22,39.0,96.0,40.6,264.0,34.0,30.3,30.3,71.0,22.5,25.9,63.0,2.0,3.2,8.0,0.89,16.2
Benoît Costil,fr FRA,GK,Bordeaux,33-156,1987,12.0,12.0,1080.0,13.0,1.08,38.0,27.0,0.737,4.0,4.0,4.0,7.0,58.3,4.0,3.0,1.0,0.0,12.0,0.0,0.0,1.0,12.2,0.23,0.2,0.01,96.0,229.0,41.9,308.0,38.0,52.9,42.0,94.0,70.2,50.8,102.0,1.0,1.0,6.0,0.5,14.3
Thibaut Courtois,be BEL,GK,Real Madrid,28-209,1992,11.0,11.0,990.0,12.0,1.09,34.0,27.0,0.794,6.0,2.0,3.0,4.0,36.4,6.0,5.0,1.0,0.0,11.0,0.0,1.0,1.0,11.5,0.21,0.5,0.05,31.0,94.0,33.0,293.0,65.0,21.8,31.0,75.0,40.0,38.4,86.0,9.0,10.5,6.0,0.55,15.5
Alessio Cragno,it ITA,GK,Cagliari,26-161,1994,9.0,9.0,810.0,19.0,2.11,59.0,42.0,0.712,3.0,2.0,4.0,1.0,11.1,2.0,2.0,0.0,0.0,9.0,1.0,1.0,0.0,17.7,0.28,-1.3,-0.14,51.0,108.0,47.2,198.0,37.0,36.4,32.5,76.0,47.4,34.8,71.0,8.0,11.3,4.0,0.44,12.9
Karl Darlow,eng ENG,GK,Newcastle Utd,30-059,1990,10.0,10.0,900.0,15.0,1.5,54.0,40.0,0.741,4.0,2.0,4.0,2.0,20.0,2.0,1.0,1.0,0.0,10.0,0.0,2.0,1.0,14.6,0.24,0.6,0.06,73.0,222.0,32.9,222.0,41.0,68.0,50.3,82.0,86.6,62.0,92.0,11.0,12.0,2.0,0.2,11.6
Yehvann Diouf,fr FRA,GK,Reims,21-020,1999,2.0,1.0,135.0,1.0,0.67,5.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.5,0.0,0.0,0.0,1.0,0.03,0.0,0.01,5.0,16.0,31.3,40.0,13.0,27.5,32.2,12.0,41.7,39.0,11.0,0.0,0.0,1.0,0.67,15.3
Marko Dmitrović,rs SRB,GK,Eibar,28-317,1992,11.0,11.0,990.0,9.0,0.82,39.0,30.0,0.769,3.0,4.0,4.0,5.0,45.5,1.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,12.1,0.29,3.1,0.29,97.0,268.0,36.2,269.0,32.0,72.1,55.8,80.0,92.5,74.6,113.0,6.0,5.3,9.0,0.82,14.9
Jaume Doménech,es ESP,GK,Valencia,30-031,1990,11.0,11.0,990.0,17.0,1.55,55.0,41.0,0.727,3.0,3.0,5.0,1.0,9.1,2.0,2.0,0.0,0.0,11.0,1.0,2.0,1.0,18.4,0.31,2.4,0.22,107.0,203.0,52.7,240.0,43.0,51.7,40.5,109.0,72.5,52.8,136.0,6.0,4.4,3.0,0.27,12.3
Gianluigi Donnarumma,it ITA,GK,Milan,21-285,1999,8.0,8.0,720.0,5.0,0.62,23.0,20.0,0.826,7.0,1.0,0.0,4.0,50.0,1.0,1.0,0.0,0.0,8.0,0.0,1.0,1.0,8.4,0.32,4.4,0.55,39.0,113.0,34.5,214.0,23.0,42.1,36.1,42.0,54.8,41.1,67.0,8.0,11.9,4.0,0.5,15.2
