True,index,comp_id,competition,end_added,end_min,fixture_id,fixture_week,kick_off_dt,player,player_id,season,season_id,start_added,start_min,start_status,team,team_id,location,mins_played
131699,0,29,NorEs,0,90,2383845,1.0,2017-04-01,S. McDermott,191639,2017,13352,0,0,Start,Kristiansund,7853,home,90
131700,1,29,NorEs,0,90,2383845,1.0,2017-04-01,A. Coly,288896,2017,13352,0,0,Start,Kristiansund,7853,home,90
131701,2,29,NorEs,0,90,2383845,1.0,2017-04-01,A. Hopmark,240181,2017,13352,0,0,Start,Kristiansund,7853,home,90
131702,3,29,NorEs,0,90,2383845,1.0,2017-04-01,D. Ulvestad,126911,2017,13352,0,0,Start,Kristiansund,7853,home,90
131703,4,29,NorEs,0,90,2383845,1.0,2017-04-01,H. Gjesdal,232576,2017,13352,0,0,Start,Kristiansund,7853,home,90
131704,5,29,NorEs,0,90,2383845,1.0,2017-04-01,S. Sorli,331154,2017,13352,0,0,Start,Kristiansund,7853,home,90
131705,6,29,NorEs,0,90,2383845,1.0,2017-04-01,S. Okland,82437,2017,13352,0,0,Start,Kristiansund,7853,home,90
131706,7,29,NorEs,0,90,2383845,1.0,2017-04-01,K. Qaka,159845,2017,13352,0,0,Start,Kristiansund,7853,home,90
131707,8,29,NorEs,0,61,2383845,1.0,2017-04-01,J. Ronningen,240281,2017,13352,0,0,Start,Kristiansund,7853,home,61
131708,9,29,NorEs,0,86,2383845,1.0,2017-04-01,D. Bamba,308507,2017,13352,0,0,Start,Kristiansund,7853,home,86
131709,10,29,NorEs,0,73,2383845,1.0,2017-04-01,B. Stokke,133262,2017,13352,0,0,Start,Kristiansund,7853,home,73
131710,11,29,NorEs,0,90,2383845,1.0,2017-04-01,A. Knezovic,432396,2017,13352,0,-1,Unused Sub,Kristiansund,7853,home,0
131711,12,29,NorEs,0,90,2383845,1.0,2017-04-01,N. Baranov,138848,2017,13352,0,-1,Unused Sub,Kristiansund,7853,home,0
131712,13,29,NorEs,0,90,2383845,1.0,2017-04-01,T. Ekpe,440824,2017,13352,0,-1,Unused Sub,Kristiansund,7853,home,0
131713,14,29,NorEs,0,90,2383845,1.0,2017-04-01,L. Kalludra,73479,2017,13352,0,61,Sub,Kristiansund,7853,home,29
131714,15,29,NorEs,0,90,2383845,1.0,2017-04-01,T. Torske,287972,2017,13352,0,-1,Unused Sub,Kristiansund,7853,home,0
131715,16,29,NorEs,0,90,2383845,1.0,2017-04-01,R. Lekaj,15529,2017,13352,0,86,Sub,Kristiansund,7853,home,4
131716,17,29,NorEs,0,90,2383845,1.0,2017-04-01,J. Mendy,183977,2017,13352,0,73,Sub,Kristiansund,7853,home,17
136010,4311,29,NorEs,0,90,2383845,1.0,2017-04-01,A. Linde,179685,2017,13352,0,0,Start,Molde,1594,away,90
136011,4312,29,NorEs,0,90,2383845,1.0,2017-04-01,C. Remmer,211771,2017,13352,0,0,Start,Molde,1594,away,90
136012,4313,29,NorEs,0,90,2383845,1.0,2017-04-01,K. Rindaroy,28929,2017,13352,0,0,Start,Molde,1594,away,90
136013,4314,29,NorEs,0,90,2383845,1.0,2017-04-01,R. Gabrielsen,76550,2017,13352,0,0,Start,Molde,1594,away,90
136014,4315,29,NorEs,0,90,2383845,1.0,2017-04-01,P. Strand,333173,2017,13352,0,0,Start,Molde,1594,away,90
136015,4316,29,NorEs,0,90,2383845,1.0,2017-04-01,B. Sarr,190502,2017,13352,0,0,Start,Molde,1594,away,90
136016,4317,29,NorEs,0,90,2383845,1.0,2017-04-01,S. Gregersen,240186,2017,13352,0,0,Start,Molde,1594,away,90
136017,4318,29,NorEs,0,79,2383845,1.0,2017-04-01,E. Hestad,217953,2017,13352,0,0,Start,Molde,1594,away,79
136018,4319,29,NorEs,0,90,2383845,1.0,2017-04-01,B. Sigurdarson,9883,2017,13352,0,0,Start,Molde,1594,away,90
136019,4320,29,NorEs,0,59,2383845,1.0,2017-04-01,S. Svendsen,218004,2017,13352,0,0,Start,Molde,1594,away,59
136020,4321,29,NorEs,0,63,2383845,1.0,2017-04-01,F. Brustad,133070,2017,13352,0,0,Start,Molde,1594,away,63
136021,4322,29,NorEs,0,90,2383845,1.0,2017-04-01,Neydson,332580,2017,13352,0,-1,Unused Sub,Molde,1594,away,0
136022,4323,29,NorEs,0,90,2383845,1.0,2017-04-01,O. Rindaroy,217946,2017,13352,0,-1,Unused Sub,Molde,1594,away,0
136023,4324,29,NorEs,0,90,2383845,1.0,2017-04-01,J. Toivio,49820,2017,13352,0,-1,Unused Sub,Molde,1594,away,0
136024,4325,29,NorEs,0,90,2383845,1.0,2017-04-01,E. Hussain,157676,2017,13352,0,63,Sub,Molde,1594,away,27
136025,4326,29,NorEs,0,90,2383845,1.0,2017-04-01,F. Aursnes,232025,2017,13352,0,79,Sub,Molde,1594,away,11
136026,4327,29,NorEs,0,90,2383845,1.0,2017-04-01,T. Amang ,437515,2017,13352,0,-1,Unused Sub,Molde,1594,away,0
136027,4328,29,NorEs,0,90,2383845,1.0,2017-04-01,O. Karlsson,296120,2017,13352,0,59,Sub,Molde,1594,away,31
131717,18,29,NorEs,0,90,2383846,1.0,2017-04-02,Daniel Fernandes,18868,2017,13352,0,0,Start,Lillestrom,1592,home,90
131718,19,29,NorEs,0,90,2383846,1.0,2017-04-02,S. Mikalsen,237623,2017,13352,0,0,Start,Lillestrom,1592,home,90
131719,20,29,NorEs,0,90,2383846,1.0,2017-04-02,M. Amundsen,191089,2017,13352,0,0,Start,Lillestrom,1592,home,90
131720,21,29,NorEs,0,90,2383846,1.0,2017-04-02,M. Haakenstad,239806,2017,13352,0,0,Start,Lillestrom,1592,home,90
131721,22,29,NorEs,0,90,2383846,1.0,2017-04-02,A. Melgalvis,232200,2017,13352,0,0,Start,Lillestrom,1592,home,90
131722,23,29,NorEs,0,82,2383846,1.0,2017-04-02,F. Krogstad,399292,2017,13352,0,0,Start,Lillestrom,1592,home,82
131723,24,29,NorEs,0,90,2383846,1.0,2017-04-02,I. Matthew,405530,2017,13352,0,0,Start,Lillestrom,1592,home,90
131724,25,29,NorEs,0,67,2383846,1.0,2017-04-02,S. Rafn,125189,2017,13352,0,0,Start,Lillestrom,1592,home,67
131725,26,29,NorEs,0,90,2383846,1.0,2017-04-02,E. Knudtzon,9952,2017,13352,0,0,Start,Lillestrom,1592,home,90
131726,27,29,NorEs,0,90,2383846,1.0,2017-04-02,T. Malec,196043,2017,13352,0,0,Start,Lillestrom,1592,home,90
131727,28,29,NorEs,0,46,2383846,1.0,2017-04-02,B. Ajeti,76646,2017,13352,0,0,Start,Lillestrom,1592,home,46
131728,29,29,NorEs,0,90,2383846,1.0,2017-04-02,A. Origi,29326,2017,13352,0,-1,Unused Sub,Lillestrom,1592,home,0
131729,30,29,NorEs,0,90,2383846,1.0,2017-04-02,F. Kippe,7768,2017,13352,0,82,Sub,Lillestrom,1592,home,8
131730,31,29,NorEs,0,90,2383846,1.0,2017-04-02,E. Brenden,183978,2017,13352,0,-1,Unused Sub,Lillestrom,1592,home,0
131731,32,29,NorEs,0,90,2383846,1.0,2017-04-02,H. Kristiansen,426423,2017,13352,0,-1,Unused Sub,Lillestrom,1592,home,0
131732,33,29,NorEs,0,90,2383846,1.0,2017-04-02,S. Udodji,51693,2017,13352,0,46,Sub,Lillestrom,1592,home,44
131733,34,29,NorEs,0,90,2383846,1.0,2017-04-02,M. Skoda,208887,2017,13352,0,67,Sub,Lillestrom,1592,home,23
131734,35,29,NorEs,0,90,2383846,1.0,2017-04-02,P. Olsen,428476,2017,13352,0,-1,Unused Sub,Lillestrom,1592,home,0
131735,36,29,NorEs,0,90,2383847,1.0,2017-04-02,S. Makani,47792,2017,13352,0,0,Start,Stromsgodset,1607,home,90
131736,37,29,NorEs,0,90,2383847,1.0,2017-04-02,J. Parr,12959,2017,13352,0,0,Start,Stromsgodset,1607,home,90
131737,38,29,NorEs,0,90,2383847,1.0,2017-04-02,L. Vilsvik,112498,2017,13352,0,0,Start,Stromsgodset,1607,home,90
131738,39,29,NorEs,0,90,2383847,1.0,2017-04-02,J. Glesnes,185830,2017,13352,0,0,Start,Stromsgodset,1607,home,90
131739,40,29,NorEs,0,90,2383847,1.0,2017-04-02,M. Hoibraten,182881,2017,13352,0,0,Start,Stromsgodset,1607,home,90
131740,41,29,NorEs,0,61,2383847,1.0,2017-04-02,K. Tokstad,80578,2017,13352,0,0,Start,Stromsgodset,1607,home,61
131741,42,29,NorEs,0,82,2383847,1.0,2017-04-02,T. Nguen,199567,2017,13352,0,0,Start,Stromsgodset,1607,home,82
131742,43,29,NorEs,0,90,2383847,1.0,2017-04-02,H. Hauger,7510,2017,13352,0,0,Start,Stromsgodset,1607,home,90
131743,44,29,NorEs,0,72,2383847,1.0,2017-04-02,Bassel Jradi,253850,2017,13352,0,0,Start,Stromsgodset,1607,home,72
131744,45,29,NorEs,0,90,2383847,1.0,2017-04-02,Marcus Pedersen,28919,2017,13352,0,0,Start,Stromsgodset,1607,home,90
131745,46,29,NorEs,0,90,2383847,1.0,2017-04-02,M. Tagbajumi,112696,2017,13352,0,0,Start,Stromsgodset,1607,home,90
131746,47,29,NorEs,0,90,2383847,1.0,2017-04-02,R. Janukiewicz,86393,2017,13352,0,-1,Unused Sub,Stromsgodset,1607,home,0
131747,48,29,NorEs,0,90,2383847,1.0,2017-04-02,S. Ringstad,76546,2017,13352,0,82,Sub,Stromsgodset,1607,home,8
131748,49,29,NorEs,0,90,2383847,1.0,2017-04-02,K. Madsen,7833,2017,13352,0,-1,Unused Sub,Stromsgodset,1607,home,0
131749,50,29,NorEs,0,90,2383847,1.0,2017-04-02,C. Sivodedov,319922,2017,13352,0,-1,Unused Sub,Stromsgodset,1607,home,0
131750,51,29,NorEs,0,90,2383847,1.0,2017-04-02,Francisco Junior,230087,2017,13352,0,61,Sub,Stromsgodset,1607,home,29
131751,52,29,NorEs,0,90,2383847,1.0,2017-04-02,P. Engblom,77110,2017,13352,0,-1,Unused Sub,Stromsgodset,1607,home,0
131752,53,29,NorEs,0,90,2383847,1.0,2017-04-02,T. Hoiland,28965,2017,13352,0,72,Sub,Stromsgodset,1607,home,18
131753,54,29,NorEs,0,90,2383848,1.0,2017-04-02,A. Kristiansen,7784,2017,13352,0,0,Start,Sarpsborg 08,2496,home,90
131754,55,29,NorEs,0,90,2383848,1.0,2017-04-02,A. Albech,352875,2017,13352,0,0,Start,Sarpsborg 08,2496,home,90
131755,56,29,NorEs,0,90,2383848,1.0,2017-04-02,J. Thomassen,63567,2017,13352,0,0,Start,Sarpsborg 08,2496,home,90
131756,57,29,NorEs,0,90,2383848,1.0,2017-04-02,S. Rosted,240099,2017,13352,0,0,Start,Sarpsborg 08,2496,home,90
131757,58,29,NorEs,0,90,2383848,1.0,2017-04-02,J. Jorgensen,29372,2017,13352,0,0,Start,Sarpsborg 08,2496,home,90
131758,59,29,NorEs,0,90,2383848,1.0,2017-04-02,K. Zachariassen,331134,2017,13352,0,0,Start,Sarpsborg 08,2496,home,90
131759,60,29,NorEs,0,90,2383848,1.0,2017-04-02,M. Lund Nielsen,11829,2017,13352,0,0,Start,Sarpsborg 08,2496,home,90
131760,61,29,NorEs,0,83,2383848,1.0,2017-04-02,O. Halvorsen,29376,2017,13352,0,0,Start,Sarpsborg 08,2496,home,83
131761,62,29,NorEs,0,90,2383848,1.0,2017-04-02,A. Trondsen,210484,2017,13352,0,0,Start,Sarpsborg 08,2496,home,90
131762,63,29,NorEs,0,90,2383848,1.0,2017-04-02,P. Mortensen,94972,2017,13352,0,0,Start,Sarpsborg 08,2496,home,90
131763,64,29,NorEs,0,78,2383848,1.0,2017-04-02,J. Lindberg,30878,2017,13352,0,0,Start,Sarpsborg 08,2496,home,78
131764,65,29,NorEs,0,90,2383848,1.0,2017-04-02,S. Cupic,291882,2017,13352,0,-1,Unused Sub,Sarpsborg 08,2496,home,0
131765,66,29,NorEs,0,90,2383848,1.0,2017-04-02,H. Toivomaki,31427,2017,13352,0,-1,Unused Sub,Sarpsborg 08,2496,home,0
131766,67,29,NorEs,0,90,2383848,1.0,2017-04-02,A. Ostli,66681,2017,13352,0,-1,Unused Sub,Sarpsborg 08,2496,home,0
131767,68,29,NorEs,0,90,2383848,1.0,2017-04-02,T. Heintz,405030,2017,13352,0,-1,Unused Sub,Sarpsborg 08,2496,home,0
131768,69,29,NorEs,0,90,2383848,1.0,2017-04-02,T. Hovda,37880,2017,13352,0,90,Sub,Sarpsborg 08,2496,home,0
131769,70,29,NorEs,0,90,2383848,1.0,2017-04-02,K. Diatta,476968,2017,13352,0,83,Sub,Sarpsborg 08,2496,home,7
131770,71,29,NorEs,0,90,2383848,1.0,2017-04-02,E. Fejzullahu,30386,2017,13352,0,78,Sub,Sarpsborg 08,2496,home,12
131771,72,29,NorEs,0,90,2383849,1.0,2017-04-02,M. Sayouba,236511,2017,13352,0,0,Start,Stabaek,1593,home,90
131772,73,29,NorEs,0,90,2383849,1.0,2017-04-02,M. Skjonsberg,7507,2017,13352,0,0,Start,Stabaek,1593,home,90
131773,74,29,NorEs,0,90,2383849,1.0,2017-04-02,H. Skogseid,7503,2017,13352,0,0,Start,Stabaek,1593,home,90
131774,75,29,NorEs,0,90,2383849,1.0,2017-04-02,A. Hanche-Olsen,316320,2017,13352,0,0,Start,Stabaek,1593,home,90
131775,76,29,NorEs,0,90,2383849,1.0,2017-04-02,J. Moe,437767,2017,13352,0,0,Start,Stabaek,1593,home,90
131776,77,29,NorEs,0,90,2383849,1.0,2017-04-02,E. Ba,157054,2017,13352,0,0,Start,Stabaek,1593,home,90
131777,78,29,NorEs,0,90,2383849,1.0,2017-04-02,M. Njie,319827,2017,13352,0,0,Start,Stabaek,1593,home,90
131778,79,29,NorEs,0,84,2383849,1.0,2017-04-02,T. Brochmann,11611,2017,13352,0,0,Start,Stabaek,1593,home,84
131779,80,29,NorEs,0,60,2383849,1.0,2017-04-02,T. Lumanza,155108,2017,13352,0,0,Start,Stabaek,1593,home,60
131780,81,29,NorEs,0,90,2383849,1.0,2017-04-02,H. Vetlesen,479462,2017,13352,0,0,Start,Stabaek,1593,home,90
131781,82,29,NorEs,0,68,2383849,1.0,2017-04-02,O. Omoijuanfo,155938,2017,13352,0,0,Start,Stabaek,1593,home,68
131782,83,29,NorEs,0,90,2383849,1.0,2017-04-02,Gurpreet Singh,165337,2017,13352,0,-1,Unused Sub,Stabaek,1593,home,0
131783,84,29,NorEs,0,90,2383849,1.0,2017-04-02,M. Olsen,479598,2017,13352,0,-1,Unused Sub,Stabaek,1593,home,0
131784,85,29,NorEs,0,90,2383849,1.0,2017-04-02,D. Granli,240886,2017,13352,0,-1,Unused Sub,Stabaek,1593,home,0
131785,86,29,NorEs,0,90,2383849,1.0,2017-04-02,A. El Amrani,240047,2017,13352,0,68,Sub,Stabaek,1593,home,22
131786,87,29,NorEs,0,90,2383849,1.0,2017-04-02,O. Brynhildsen,479599,2017,13352,0,-1,Unused Sub,Stabaek,1593,home,0
131787,88,29,NorEs,0,90,2383849,1.0,2017-04-02,L. Kassi,262023,2017,13352,0,60,Sub,Stabaek,1593,home,30
131788,89,29,NorEs,0,90,2383849,1.0,2017-04-02,S. Pedersen,402937,2017,13352,0,84,Sub,Stabaek,1593,home,6
131789,90,29,NorEs,0,90,2383850,1.0,2017-04-02,G. Kongshavn,85691,2017,13352,0,0,Start,Tromso,1585,home,90
131790,91,29,NorEs,0,90,2383850,1.0,2017-04-02,K. Antonsen,210474,2017,13352,0,0,Start,Tromso,1585,home,90
131791,92,29,NorEs,0,90,2383850,1.0,2017-04-02,S. Wangberg,95406,2017,13352,0,0,Start,Tromso,1585,home,90
131792,93,29,NorEs,0,90,2383850,1.0,2017-04-02,M. Odegaard,76769,2017,13352,0,0,Start,Tromso,1585,home,90
131793,94,29,NorEs,0,90,2383850,1.0,2017-04-02,H. Norbye,7973,2017,13352,0,0,Start,Tromso,1585,home,90
131794,95,29,NorEs,0,72,2383850,1.0,2017-04-02,U. Jenssen,232953,2017,13352,0,0,Start,Tromso,1585,home,72
131795,96,29,NorEs,0,90,2383850,1.0,2017-04-02,Morten Pedersen,2703,2017,13352,0,0,Start,Tromso,1585,home,90
131796,97,29,NorEs,0,90,2383850,1.0,2017-04-02,A. Sigurdarson,131427,2017,13352,0,0,Start,Tromso,1585,home,90
131797,98,29,NorEs,0,64,2383850,1.0,2017-04-02,M. Ingebrigtsen,232954,2017,13352,0,0,Start,Tromso,1585,home,64
131798,99,29,NorEs,0,90,2383850,1.0,2017-04-02,S. Vuk,177449,2017,13352,0,0,Start,Tromso,1585,home,90
131799,100,29,NorEs,0,90,2383850,1.0,2017-04-02,T. Olsen,74007,2017,13352,0,0,Start,Tromso,1585,home,90
131800,101,29,NorEs,0,90,2383850,1.0,2017-04-02,J. Karlstrom,348451,2017,13352,0,-1,Unused Sub,Tromso,1585,home,0
131801,102,29,NorEs,0,90,2383850,1.0,2017-04-02,P. Kpozo,395544,2017,13352,0,-1,Unused Sub,Tromso,1585,home,0
131802,103,29,NorEs,0,90,2383850,1.0,2017-04-02,J. Gundersen,388523,2017,13352,0,-1,Unused Sub,Tromso,1585,home,0
131803,104,29,NorEs,0,90,2383850,1.0,2017-04-02,C. Landu Landu,77922,2017,13352,0,72,Sub,Tromso,1585,home,18
131804,105,29,NorEs,0,90,2383850,1.0,2017-04-02,J. Johansen,29178,2017,13352,0,-1,Unused Sub,Tromso,1585,home,0
131805,106,29,NorEs,0,90,2383850,1.0,2017-04-02,M. Andersen,29206,2017,13352,0,64,Sub,Tromso,1585,home,26
131806,107,29,NorEs,0,90,2383850,1.0,2017-04-02,F. Michalsen,398480,2017,13352,0,-1,Unused Sub,Tromso,1585,home,0
131807,108,29,NorEs,0,90,2383851,1.0,2017-04-02,Andre Hansen,78158,2017,13352,0,0,Start,Rosenborg,1587,home,90
131808,109,29,NorEs,0,90,2383851,1.0,2017-04-02,V. Hedenstad,110889,2017,13352,0,0,Start,Rosenborg,1587,home,90
131809,110,29,NorEs,0,46,2383851,1.0,2017-04-02,A. Gersbach,367531,2017,13352,0,0,Start,Rosenborg,1587,home,46
131810,111,29,NorEs,0,90,2383851,1.0,2017-04-02,T. Reginiussen,7977,2017,13352,0,0,Start,Rosenborg,1587,home,90
131811,112,29,NorEs,0,90,2383851,1.0,2017-04-02,J. Skjelvik,78927,2017,13352,0,0,Start,Rosenborg,1587,home,90
131812,113,29,NorEs,0,90,2383851,1.0,2017-04-02,M. Jensen,11681,2017,13352,0,0,Start,Rosenborg,1587,home,90
131813,114,29,NorEs,0,90,2383851,1.0,2017-04-02,F. Midtsjo,135714,2017,13352,0,0,Start,Rosenborg,1587,home,90
131814,115,29,NorEs,0,90,2383851,1.0,2017-04-02,A. Konradsen,28235,2017,13352,0,0,Start,Rosenborg,1587,home,90
131815,116,29,NorEs,0,72,2383851,1.0,2017-04-02,P. Helland,39120,2017,13352,0,0,Start,Rosenborg,1587,home,72
131816,117,29,NorEs,0,90,2383851,1.0,2017-04-02,N. Bendtner,16090,2017,13352,0,0,Start,Rosenborg,1587,home,90
131817,118,29,NorEs,0,76,2383851,1.0,2017-04-02,M. Jevtovic,258642,2017,13352,0,0,Start,Rosenborg,1587,home,76
131818,119,29,NorEs,0,90,2383851,1.0,2017-04-02,A. Ostbo,41420,2017,13352,0,-1,Unused Sub,Rosenborg,1587,home,0
131819,120,29,NorEs,0,90,2383851,1.0,2017-04-02,J. Rasmussen,316057,2017,13352,0,-1,Unused Sub,Rosenborg,1587,home,0
131820,121,29,NorEs,0,90,2383851,1.0,2017-04-02,J. Bjordal,28243,2017,13352,0,46,Sub,Rosenborg,1587,home,44
131821,122,29,NorEs,0,90,2383851,1.0,2017-04-02,E. Reitan,401115,2017,13352,0,-1,Unused Sub,Rosenborg,1587,home,0
131822,123,29,NorEs,0,90,2383851,1.0,2017-04-02,M. Vilhjalmsson,9512,2017,13352,0,-1,Unused Sub,Rosenborg,1587,home,0
131823,124,29,NorEs,0,90,2383851,1.0,2017-04-02,E. Rashani,126708,2017,13352,0,72,Sub,Rosenborg,1587,home,18
131824,125,29,NorEs,0,90,2383851,1.0,2017-04-02,M. Bakenga,97545,2017,13352,0,76,Sub,Rosenborg,1587,home,14
136028,4329,29,NorEs,0,90,2383846,1.0,2017-04-02,I. Jonsson,33164,2017,13352,0,0,Start,Sandefjord,1601,away,90
136029,4330,29,NorEs,0,90,2383846,1.0,2017-04-02,J. Solberg,76607,2017,13352,0,0,Start,Sandefjord,1601,away,90
136030,4331,29,NorEs,0,90,2383846,1.0,2017-04-02,A. Seck,352419,2017,13352,0,0,Start,Sandefjord,1601,away,90
136031,4332,29,NorEs,0,90,2383846,1.0,2017-04-02,C. Reppesgard,204662,2017,13352,0,0,Start,Sandefjord,1601,away,90
136032,4333,29,NorEs,0,90,2383846,1.0,2017-04-02,E. Kane,434944,2017,13352,0,0,Start,Sandefjord,1601,away,90
136033,4334,29,NorEs,0,90,2383846,1.0,2017-04-02,V. Bindia,77061,2017,13352,0,0,Start,Sandefjord,1601,away,90
136034,4335,29,NorEs,0,81,2383846,1.0,2017-04-02,Pau Morer,414404,2017,13352,0,0,Start,Sandefjord,1601,away,81
136035,4336,29,NorEs,0,90,2383846,1.0,2017-04-02,H. Storbaek,75272,2017,13352,0,0,Start,Sandefjord,1601,away,90
136036,4337,29,NorEs,0,90,2383846,1.0,2017-04-02,Enric Valles,65028,2017,13352,0,0,Start,Sandefjord,1601,away,90
136037,4338,29,NorEs,0,67,2383846,1.0,2017-04-02,W. Kurtovic,321344,2017,13352,0,0,Start,Sandefjord,1601,away,67
136038,4339,29,NorEs,0,63,2383846,1.0,2017-04-02,F. Kastrati,134172,2017,13352,0,0,Start,Sandefjord,1601,away,63
136039,4340,29,NorEs,0,90,2383846,1.0,2017-04-02,O. Ovretveit,155919,2017,13352,0,-1,Unused Sub,Sandefjord,1601,away,0
136040,4341,29,NorEs,0,90,2383846,1.0,2017-04-02,K. Jablinski,472462,2017,13352,0,-1,Unused Sub,Sandefjord,1601,away,0
136041,4342,29,NorEs,0,90,2383846,1.0,2017-04-02,M. Holt,444085,2017,13352,0,-1,Unused Sub,Sandefjord,1601,away,0
136042,4343,29,NorEs,0,90,2383846,1.0,2017-04-02,E. Kebbie,426351,2017,13352,0,-1,Unused Sub,Sandefjord,1601,away,0
136043,4344,29,NorEs,0,90,2383846,1.0,2017-04-02,A. Sodlund,336474,2017,13352,0,67,Sub,Sandefjord,1601,away,23
136044,4345,29,NorEs,0,90,2383846,1.0,2017-04-02,P. Kovacs,7966,2017,13352,0,81,Sub,Sandefjord,1601,away,9
136045,4346,29,NorEs,0,90,2383846,1.0,2017-04-02,M. Naglestad,406567,2017,13352,0,63,Sub,Sandefjord,1601,away,27
136046,4347,29,NorEs,0,90,2383847,1.0,2017-04-02,P. Bratveit,258021,2017,13352,0,0,Start,Haugesund,1610,away,90
136047,4348,29,NorEs,0,35,2383847,1.0,2017-04-02,K. Haraldseid,155921,2017,13352,0,0,Start,Haugesund,1610,away,35
136048,4349,29,NorEs,0,90,2383847,1.0,2017-04-02,V. Skjerve,29259,2017,13352,0,0,Start,Haugesund,1610,away,90
136049,4350,29,NorEs,0,90,2383847,1.0,2017-04-02,F. Kiss,83751,2017,13352,0,0,Start,Haugesund,1610,away,90
136050,4351,29,NorEs,0,90,2383847,1.0,2017-04-02,A. Stolas,76754,2017,13352,0,0,Start,Haugesund,1610,away,90
136051,4352,29,NorEs,0,90,2383847,1.0,2017-04-02,T. Andreassen,29255,2017,13352,0,0,Start,Haugesund,1610,away,90
136052,4353,29,NorEs,0,90,2383847,1.0,2017-04-02,H. Hajradinovic,245451,2017,13352,0,0,Start,Haugesund,1610,away,90
136053,4354,29,NorEs,0,79,2383847,1.0,2017-04-02,F. Gytkjaer,254300,2017,13352,0,0,Start,Haugesund,1610,away,79
136054,4355,29,NorEs,0,59,2383847,1.0,2017-04-02,L. Abdi,95500,2017,13352,0,0,Start,Haugesund,1610,away,59
136055,4356,29,NorEs,0,90,2383847,1.0,2017-04-02,E. Huseklepp,7492,2017,13352,0,0,Start,Haugesund,1610,away,90
136056,4357,29,NorEs,0,90,2383847,1.0,2017-04-02,S. Ibrahim,437525,2017,13352,0,0,Start,Haugesund,1610,away,90
136057,4358,29,NorEs,0,90,2383847,1.0,2017-04-02,H. Sandvik,216025,2017,13352,0,-1,Unused Sub,Haugesund,1610,away,0
136058,4359,29,NorEs,0,90,2383847,1.0,2017-04-02,F. Knudsen,298063,2017,13352,0,-1,Unused Sub,Haugesund,1610,away,0
136059,4360,29,NorEs,0,90,2383847,1.0,2017-04-02,T. Horneland,282294,2017,13352,0,-1,Unused Sub,Haugesund,1610,away,0
136060,4361,29,NorEs,0,90,2383847,1.0,2017-04-02,S. Tronstad,233877,2017,13352,0,35,Sub,Haugesund,1610,away,55
136061,4362,29,NorEs,0,90,2383847,1.0,2017-04-02,K. Gunnarshaug,452449,2017,13352,0,-1,Unused Sub,Haugesund,1610,away,0
136062,4363,29,NorEs,0,90,2383847,1.0,2017-04-02,R. Kling,400380,2017,13352,0,-1,Unused Sub,Haugesund,1610,away,0
136063,4364,29,NorEs,0,90,2383847,1.0,2017-04-02,J. Buduson,479049,2017,13352,0,79,Sub,Haugesund,1610,away,11
136064,4365,29,NorEs,0,90,2383848,1.0,2017-04-02,M. Dyngeland,254640,2017,13352,0,0,Start,Sogndal,1597,away,90
136065,4366,29,NorEs,0,90,2383848,1.0,2017-04-02,T. Teniste,25781,2017,13352,0,0,Start,Sogndal,1597,away,90
136066,4367,29,NorEs,0,90,2383848,1.0,2017-04-02,B. Utvik,248514,2017,13352,0,0,Start,Sogndal,1597,away,90
136067,4368,29,NorEs,0,90,2383848,1.0,2017-04-02,C. Psyche,183970,2017,13352,0,0,Start,Sogndal,1597,away,90
136068,4369,29,NorEs,0,90,2383848,1.0,2017-04-02,V. Grodas,183838,2017,13352,0,0,Start,Sogndal,1597,away,90
136069,4370,29,NorEs,0,73,2383848,1.0,2017-04-02,C. Nwakali,319128,2017,13352,0,0,Start,Sogndal,1597,away,73
136070,4371,29,NorEs,0,90,2383848,1.0,2017-04-02,G. Koomson,291177,2017,13352,0,0,Start,Sogndal,1597,away,90
136071,4372,29,NorEs,0,90,2383848,1.0,2017-04-02,H. Furebotn,29423,2017,13352,0,0,Start,Sogndal,1597,away,90
136072,4373,29,NorEs,0,90,2383848,1.0,2017-04-02,E. Birkelund,192917,2017,13352,0,0,Start,Sogndal,1597,away,90
136073,4374,29,NorEs,0,90,2383848,1.0,2017-04-02,B. Bye,183968,2017,13352,0,0,Start,Sogndal,1597,away,90
136074,4375,29,NorEs,0,70,2383848,1.0,2017-04-02,M. Ramsland,240400,2017,13352,0,0,Start,Sogndal,1597,away,70
136075,4376,29,NorEs,0,90,2383848,1.0,2017-04-02,T. Omenas,103869,2017,13352,0,-1,Unused Sub,Sogndal,1597,away,0
136076,4377,29,NorEs,0,90,2383848,1.0,2017-04-02,P. Steiring,316318,2017,13352,0,-1,Unused Sub,Sogndal,1597,away,0
136077,4378,29,NorEs,0,90,2383848,1.0,2017-04-02,E. Skaasheim,189899,2017,13352,0,-1,Unused Sub,Sogndal,1597,away,0
136078,4379,29,NorEs,0,90,2383848,1.0,2017-04-02,E. Schulze,211064,2017,13352,0,73,Sub,Sogndal,1597,away,17
136079,4380,29,NorEs,0,90,2383848,1.0,2017-04-02,S. Brekkhus,402193,2017,13352,0,-1,Unused Sub,Sogndal,1597,away,0
136080,4381,29,NorEs,0,90,2383848,1.0,2017-04-02,O. Sveen,231757,2017,13352,0,70,Sub,Sogndal,1597,away,20
136081,4382,29,NorEs,0,90,2383849,1.0,2017-04-02,A. Lie,85912,2017,13352,0,0,Start,Aalesund,1602,away,90
