,Player,,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN EUR),Team,League,Season
0,Lennart Czyborra,,"€ 14,423","€ 750,000",LB,22,,"Jun 30, 2022",1-yr,"€ 750,000",Arminia Bielefeld,Bundesliga,2021-2022
1,Joakim Nilsson,,"€ 8,846","€ 460,000",CB,27,,"Jun 30, 2022",1-yr,"€ 460,000",Arminia Bielefeld,Bundesliga,2021-2022
2,Cédric Brunner,,"€ 7,500","€ 390,000",RB,27,,"Jun 30, 2022",1-yr,"€ 390,000",Arminia Bielefeld,Bundesliga,2021-2022
3,Fabian Klos,,"€ 7,115","€ 370,000",CF,33,,"Jun 30, 2022",1-yr,"€ 370,000",Arminia Bielefeld,Bundesliga,2021-2022
4,Manuel Prietl,,"€ 5,769","€ 300,000",DM,30,,"Jun 30, 2024",3-yrs,"€ 900,000",Arminia Bielefeld,Bundesliga,2021-2022
5,Jacob Barrett Laursen,,"€ 5,385","€ 280,000",LB,26,,"Jun 30, 2023",2-yrs,"€ 560,000",Arminia Bielefeld,Bundesliga,2021-2022
6,Nathan de Medina,,"€ 4,038","€ 210,000",RB,23,,"Jun 30, 2023",2-yrs,"€ 420,000",Arminia Bielefeld,Bundesliga,2021-2022
7,Masaya Okugawa,,"€ 3,462","€ 180,000",LW,25,,"Jun 30, 2024",3-yrs,"€ 540,000",Arminia Bielefeld,Bundesliga,2021-2022
8,Amos Pieper,,"€ 1,538","€ 80,000",CB,23,,"Jun 30, 2022",1-yr,"€ 80,000",Arminia Bielefeld,Bundesliga,2021-2022
9,Fabian Kunze,,€ 962,"€ 50,000",DM,23,,"Jun 30, 2022",1-yr,"€ 50,000",Arminia Bielefeld,Bundesliga,2021-2022
10,Sebastian Vasiliadis,,€ 0,€ 0,CM,23,,"Jun 30, 2024",3-yrs,€ 0,Arminia Bielefeld,Bundesliga,2021-2022
11,Stefan Ortega,,€ 0,€ 0,GK,28,,"Jun 30, 2022",1-yr,€ 0,Arminia Bielefeld,Bundesliga,2021-2022
12,Stefanos Kapino,,€ 0,€ 0,GK,27,,"Jun 30, 2023",2-yrs,€ 0,Arminia Bielefeld,Bundesliga,2021-2022
13,Alessandro Schöpf,,€ 0,€ 0,AM,27,,"Jun 30, 2023",2-yrs,€ 0,Arminia Bielefeld,Bundesliga,2021-2022
14,Vladislav Cherny,,€ 0,€ 0,AM,18,,"Jun 30, 2024",3-yrs,€ 0,Arminia Bielefeld,Bundesliga,2021-2022
15,Andrés Andrade,,€ 0,€ 0,CB,22,,"Jun 30, 2022",1-yr,€ 0,Arminia Bielefeld,Bundesliga,2021-2022
16,Arne Schulz,,€ 0,€ 0,GK,18,,"Jun 30, 2022",1-yr,€ 0,Arminia Bielefeld,Bundesliga,2021-2022
17,Bryan Lasme,,€ 0,€ 0,RW,22,,"Jun 30, 2025",4-yrs,€ 0,Arminia Bielefeld,Bundesliga,2021-2022
18,Edimilson Fernandes,,€ 0,€ 0,CM,25,,"Jun 30, 2022",1-yr,€ 0,Arminia Bielefeld,Bundesliga,2021-2022
19,Florian Krüger,,€ 0,€ 0,CF,22,,"Jun 30, 2025",4-yrs,€ 0,Arminia Bielefeld,Bundesliga,2021-2022
20,Guilherme Ramos,,€ 0,€ 0,CB,24,,"Jun 30, 2025",4-yrs,€ 0,Arminia Bielefeld,Bundesliga,2021-2022
21,Janni Serra,,€ 0,€ 0,CF,23,,"Jun 30, 2025",4-yrs,€ 0,Arminia Bielefeld,Bundesliga,2021-2022
22,Patrick Wimmer,,€ 0,€ 0,LW,20,,"Jun 30, 2025",4-yrs,€ 0,Arminia Bielefeld,Bundesliga,2021-2022
23,Robin Hack,,€ 0,€ 0,LW,23,,"Jun 30, 2025",4-yrs,€ 0,Arminia Bielefeld,Bundesliga,2021-2022
