,Player,,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN EUR),Team,League,Season
0,Maxime Gonalons,,"€ 71,154","€ 3,700,000",DM,31,Starter,"Jun 30, 2023",3-yrs,"€ 11,100,000",Granada,La Liga,2020-2021
1,Kenedy,,"€ 48,654","€ 2,530,000",LW,24,Reserve,"Jun 30, 2021",1-yr,"€ 2,530,000",Granada,La Liga,2020-2021
2,Jesús Vallejo,,"€ 35,000","€ 1,820,000",CB,24,Starter,"Jun 30, 2021",1-yr,"€ 1,820,000",Granada,La Liga,2020-2021
3,Luis Suárez,,"€ 29,615","€ 1,540,000",CF,23,Reserve,"Jun 30, 2025",5-yrs,"€ 7,700,000",Granada,La Liga,2020-2021
4,Jorge Molina,,"€ 29,615","€ 1,540,000",CF,38,Starter,"Jun 30, 2022",2-yrs,"€ 3,080,000",Granada,La Liga,2020-2021
5,Yangel Herrera,,"€ 27,885","€ 1,450,000",CM,23,Starter,"Jun 30, 2021",1-yr,"€ 1,450,000",Granada,La Liga,2020-2021
6,Darwin Machís,,"€ 26,154","€ 1,360,000",LW,27,Starter,"Jun 30, 2023",3-yrs,"€ 4,080,000",Granada,La Liga,2020-2021
7,Domingos Duarte,,"€ 24,231","€ 1,260,000",CB,25,Starter,"Jun 30, 2023",3-yrs,"€ 3,780,000",Granada,La Liga,2020-2021
8,Dimitri Foulquier,,"€ 23,077","€ 1,200,000",RB,27,Reserve,"Jun 30, 2023",3-yrs,"€ 3,600,000",Granada,La Liga,2020-2021
9,Roberto Soldado,,"€ 20,769","€ 1,080,000",CF,35,Reserve,"Jun 30, 2021",1-yr,"€ 1,080,000",Granada,La Liga,2020-2021
10,Luis Milla,,"€ 20,577","€ 1,070,000",CM,26,Starter,"Jun 30, 2024",4-yrs,"€ 4,280,000",Granada,La Liga,2020-2021
11,Fede Vico,,"€ 16,731","€ 870,000",AM,26,Reserve,"Jun 30, 2021",1-yr,"€ 870,000",Granada,La Liga,2020-2021
12,Nehuén Pérez,,"€ 16,538","€ 860,000",CB,20,Reserve,"Jun 30, 2021",1-yr,"€ 860,000",Granada,La Liga,2020-2021
13,Ángel Montoro,,"€ 13,462","€ 700,000",CM,32,Reserve,"Jun 30, 2022",2-yrs,"€ 1,400,000",Granada,La Liga,2020-2021
14,Germán Sánchez,,"€ 12,308","€ 640,000",CB,34,Starter,"Jun 30, 2022",2-yrs,"€ 1,280,000",Granada,La Liga,2020-2021
15,Antonio Puertas,,"€ 12,308","€ 640,000",RW,28,Starter,"Jun 30, 2024",4-yrs,"€ 2,560,000",Granada,La Liga,2020-2021
16,Alberto Soro,,"€ 11,154","€ 580,000",RW,21,Reserve,"Jun 30, 2025",5-yrs,"€ 2,900,000",Granada,La Liga,2020-2021
17,Domingos Quina,,"€ 10,000","€ 520,000",CM,21,Reserve,"Jun 30, 2021",1-yr,"€ 520,000",Granada,La Liga,2020-2021
18,Yan Eteki,,"€ 9,615","€ 500,000",CM,23,Reserve,"Jun 30, 2022",2-yrs,"€ 1,000,000",Granada,La Liga,2020-2021
19,Neyder Lozano,,"€ 9,038","€ 470,000",CB,26,Reserve,"Jun 30, 2022",2-yrs,"€ 940,000",Granada,La Liga,2020-2021
20,Víctor Díaz,,"€ 8,462","€ 440,000",RB,32,Reserve,"Jun 30, 2022",2-yrs,"€ 880,000",Granada,La Liga,2020-2021
21,Carlos Neva,,"€ 7,308","€ 380,000",LB,24,Starter,"Jun 30, 2022",2-yrs,"€ 760,000",Granada,La Liga,2020-2021
22,Quini,,"€ 7,115","€ 370,000",RB,31,Reserve,"Jun 30, 2023",3-yrs,"€ 1,110,000",Granada,La Liga,2020-2021
23,Pepe Sánchez,,"€ 4,808","€ 250,000",RB,20,Reserve,"Jun 30, 2022",2-yrs,"€ 500,000",Granada,La Liga,2020-2021
24,Rui Silva,,"€ 4,808","€ 250,000",GK,26,Starter,"Jun 30, 2021",1-yr,"€ 250,000",Granada,La Liga,2020-2021
25,Adrián Marín,,"€ 3,654","€ 190,000",LB,24,Reserve,"Jun 30, 2023",3-yrs,"€ 570,000",Granada,La Liga,2020-2021
26,Aarón Escandell,,"€ 3,077","€ 160,000",GK,25,Reserve,"Jun 30, 2023",3-yrs,"€ 480,000",Granada,La Liga,2020-2021
