,Player,,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN EUR),Team,League,Season
0,Rodrigo Battaglia,,"€ 52,885","€ 2,750,000",CM,29,Starter,"Jun 30, 2021",1-yr,"€ 2,750,000",Alaves,La Liga,2020-2021
1,Iñigo Córdoba,,"€ 51,154","€ 2,660,000",LW,23,Reserve,"Jun 30, 2021",1-yr,"€ 2,660,000",Alaves,La Liga,2020-2021
2,Jota Peleteiro,,"€ 34,808","€ 1,810,000",RW,29,Starter,"Jun 30, 2021",1-yr,"€ 1,810,000",Alaves,La Liga,2020-2021
3,Florian Lejeune,,"€ 28,846","€ 1,500,000",CB,29,Starter,"Jun 30, 2021",1-yr,"€ 1,500,000",Alaves,La Liga,2020-2021
4,Fernando Pacheco,,"€ 28,269","€ 1,470,000",GK,28,Starter,"Jun 30, 2023",3-yrs,"€ 4,410,000",Alaves,La Liga,2020-2021
5,Tomás Pina,,"€ 27,500","€ 1,430,000",CM,33,Starter,"Jun 30, 2021",1-yr,"€ 1,430,000",Alaves,La Liga,2020-2021
6,Lucas Pérez,,"€ 26,731","€ 1,390,000",CF,32,Reserve,"Jun 30, 2022",2-yrs,"€ 2,780,000",Alaves,La Liga,2020-2021
7,Facundo Pellistri,,"€ 21,346","€ 1,110,000",RW,19,Reserve,"Jun 30, 2021",1-yr,"€ 1,110,000",Alaves,La Liga,2020-2021
8,Deyverson,,"€ 20,769","€ 1,080,000",CF,29,Starter,"Jun 30, 2021",1-yr,"€ 1,080,000",Alaves,La Liga,2020-2021
9,Pere Pons,,"€ 20,192","€ 1,050,000",DM,27,Reserve,"Jun 30, 2022",2-yrs,"€ 2,100,000",Alaves,La Liga,2020-2021
10,Luis Rioja,,"€ 15,769","€ 820,000",LW,27,Starter,"Jun 30, 2023",3-yrs,"€ 2,460,000",Alaves,La Liga,2020-2021
11,Manu García,,"€ 14,808","€ 770,000",DM,34,Reserve,"Jun 30, 2021",1-yr,"€ 770,000",Alaves,La Liga,2020-2021
12,Joselu,,"€ 13,654","€ 710,000",CF,30,Reserve,"Jun 30, 2022",2-yrs,"€ 1,420,000",Alaves,La Liga,2020-2021
13,Víctor Laguardia,,"€ 12,500","€ 650,000",CB,31,Starter,"Jun 30, 2022",2-yrs,"€ 1,300,000",Alaves,La Liga,2020-2021
14,Rubén Duarte,,"€ 10,962","€ 570,000",LB,25,Starter,"Jun 30, 2023",3-yrs,"€ 1,710,000",Alaves,La Liga,2020-2021
15,John Guidetti,,"€ 10,000","€ 520,000",CF,28,Reserve,"Jun 30, 2022",2-yrs,"€ 1,040,000",Alaves,La Liga,2020-2021
16,Edgar Méndez,,"€ 9,615","€ 500,000",RW,31,Starter,"Jun 30, 2022",2-yrs,"€ 1,000,000",Alaves,La Liga,2020-2021
17,Burgui,,"€ 9,231","€ 480,000",LW,27,Reserve,"Jun 30, 2021",1-yr,"€ 480,000",Alaves,La Liga,2020-2021
18,Rodrigo Ely,,"€ 9,231","€ 480,000",CB,27,Reserve,"Jun 30, 2021",1-yr,"€ 480,000",Alaves,La Liga,2020-2021
19,Ximo Navarro,,"€ 6,923","€ 360,000",RB,31,Starter,"Jun 30, 2021",1-yr,"€ 360,000",Alaves,La Liga,2020-2021
20,Martín Aguirregabiria,,"€ 6,731","€ 350,000",RB,24,Reserve,"Jun 30, 2022",2-yrs,"€ 700,000",Alaves,La Liga,2020-2021
21,Antonio Sivera,,"€ 3,846","€ 200,000",GK,24,Reserve,"Jun 30, 2021",1-yr,"€ 200,000",Alaves,La Liga,2020-2021
22,Tachi,,"€ 1,923","€ 100,000",CB,23,Reserve,"Jun 30, 2023",3-yrs,"€ 300,000",Alaves,La Liga,2020-2021
23,Javi López,,€ 769,"€ 40,000",LB,18,Reserve,"Jun 30, 2023",3-yrs,"€ 120,000",Alaves,La Liga,2020-2021
24,Borja Sainz,,€ 769,"€ 40,000",LW,20,Reserve,"Jun 30, 2023",3-yrs,"€ 120,000",Alaves,La Liga,2020-2021
