,Player,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),"Adj. GrossBase Salary(2021, IN EUR)",Pos.,Age,Country,Team,League,Season
0,André Silva,"€ 71,154","€ 3,700,000","€ 3,700,000",F,23,Portugal,Eintracht Frankfurt,Bundesliga,2019-2020
1,Kevin Trapp,"€ 57,692","€ 3,000,000","€ 3,000,000",K,29,Germany,Eintracht Frankfurt,Bundesliga,2019-2020
2,Bas Dost,"€ 53,846","€ 2,800,000","€ 2,800,000",F,30,Netherlands,Eintracht Frankfurt,Bundesliga,2019-2020
3,Filip Kostic,"€ 48,077","€ 2,500,000","€ 2,500,000",M,26,Serbia,Eintracht Frankfurt,Bundesliga,2019-2020
4,Martin Hinteregger,"€ 48,077","€ 2,500,000","€ 2,500,000",D,27,Austria,Eintracht Frankfurt,Bundesliga,2019-2020
5,Djibril Sow,"€ 41,731","€ 2,170,000","€ 2,170,000",M,22,Switzerland,Eintracht Frankfurt,Bundesliga,2019-2020
6,Sebastian Rode,"€ 38,462","€ 2,000,000","€ 2,000,000",M,28,Germany,Eintracht Frankfurt,Bundesliga,2019-2020
7,Nicolai Müller,"€ 38,462","€ 2,000,000","€ 2,000,000",F,31,Germany,Eintracht Frankfurt,Bundesliga,2019-2020
8,Stefan Ilsanker,"€ 38,269","€ 1,990,000","€ 1,990,000",M,30,Austria,Eintracht Frankfurt,Bundesliga,2019-2020
9,Almamy Touré,"€ 34,615","€ 1,800,000","€ 1,800,000",D,23,France,Eintracht Frankfurt,Bundesliga,2019-2020
10,Jonathan de Guzmán,"€ 28,846","€ 1,500,000","€ 1,500,000",M,31,Netherlands,Eintracht Frankfurt,Bundesliga,2019-2020
11,Erik Durm,"€ 28,846","€ 1,500,000","€ 1,500,000",D,27,Germany,Eintracht Frankfurt,Bundesliga,2019-2020
12,David Abraham,"€ 26,923","€ 1,400,000","€ 1,400,000",D,33,Argentina,Eintracht Frankfurt,Bundesliga,2019-2020
13,Gonçalo Paciência,"€ 23,077","€ 1,200,000","€ 1,200,000",F,25,Portugal,Eintracht Frankfurt,Bundesliga,2019-2020
14,Dominik Kohr,"€ 23,077","€ 1,200,000","€ 1,200,000",M,25,Germany,Eintracht Frankfurt,Bundesliga,2019-2020
15,Gelson Fernandes,"€ 23,077","€ 1,200,000","€ 1,200,000",M,33,Switzerland,Eintracht Frankfurt,Bundesliga,2019-2020
16,Makoto Hasebe,"€ 20,000","€ 1,040,000","€ 1,040,000",M,35,Japan,Eintracht Frankfurt,Bundesliga,2019-2020
17,Frederik Rönnow,"€ 19,231","€ 1,000,000","€ 1,000,000",K,27,Denmark,Eintracht Frankfurt,Bundesliga,2019-2020
18,Dejan Joveljic,"€ 19,231","€ 1,000,000","€ 1,000,000",F,20,Serbia,Eintracht Frankfurt,Bundesliga,2019-2020
19,Mijat Gacinovic,"€ 19,231","€ 1,000,000","€ 1,000,000",F,24,Serbia,Eintracht Frankfurt,Bundesliga,2019-2020
20,Lucas Torró,"€ 17,308","€ 900,000","€ 900,000",M,25,Spain,Eintracht Frankfurt,Bundesliga,2019-2020
21,Timothy Chandler,"€ 15,000","€ 780,000","€ 780,000",D,29,United States,Eintracht Frankfurt,Bundesliga,2019-2020
22,Danny da Costa,"€ 15,000","€ 780,000","€ 780,000",D,26,Germany,Eintracht Frankfurt,Bundesliga,2019-2020
23,Felix Wiedwald,"€ 15,000","€ 780,000","€ 780,000",K,29,Germany,Eintracht Frankfurt,Bundesliga,2019-2020
24,Simon Falette,"€ 15,000","€ 780,000","€ 780,000",D,27,Guinea,Eintracht Frankfurt,Bundesliga,2019-2020
25,Marco Russ,"€ 10,000","€ 520,000","€ 520,000",D,34,Germany,Eintracht Frankfurt,Bundesliga,2019-2020
26,Evan N'Dicka,"€ 9,615","€ 500,000","€ 500,000",D,20,France,Eintracht Frankfurt,Bundesliga,2019-2020
27,Jan Zimmermann,"€ 8,462","€ 440,000","€ 440,000",K,34,Germany,Eintracht Frankfurt,Bundesliga,2019-2020
28,Daichi Kamada,"€ 8,462","€ 440,000","€ 440,000",F,23,Japan,Eintracht Frankfurt,Bundesliga,2019-2020
29,Marijan Cavar,"€ 7,692","€ 400,000","€ 400,000",M,21,Bosnia-Herzegovina,Eintracht Frankfurt,Bundesliga,2019-2020
30,Patrick Finger,"€ 1,923","€ 100,000","€ 100,000",F,18,Germany,Eintracht Frankfurt,Bundesliga,2019-2020
31,Sahverdi Cetin,"€ 1,923","€ 100,000","€ 100,000",M,18,Germany,Eintracht Frankfurt,Bundesliga,2019-2020
32,Nils Stendera,€ 962,"€ 50,000","€ 50,000",M,18,Germany,Eintracht Frankfurt,Bundesliga,2019-2020
