,Player,,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN EUR),Team,League,Season
0,Marko Arnautovic,,"€ 66,462","€ 3,456,000",CF,32,,"Jun 30, 2023",2-yrs,"€ 6,912,000",Bologna,Serie A,2021-2022
1,Roberto Soriano,,"€ 39,423","€ 2,050,000",AM,30,,"Jun 30, 2023",2-yrs,"€ 4,100,000",Bologna,Serie A,2021-2022
2,Nicola Sansone,,"€ 39,423","€ 2,050,000",LW,29,,"Jun 30, 2023",2-yrs,"€ 4,100,000",Bologna,Serie A,2021-2022
3,Andrea Poli,,"€ 39,231","€ 2,040,000",CM,31,,"Jun 30, 2022",1-yr,"€ 2,040,000",Bologna,Serie A,2021-2022
4,Riccardo Orsolini,,"€ 39,231","€ 2,040,000",RW,24,,"Jun 30, 2024",3-yrs,"€ 6,120,000",Bologna,Serie A,2021-2022
5,Gary Medel,,"€ 36,923","€ 1,920,000",DM,33,,"Jun 30, 2022",1-yr,"€ 1,920,000",Bologna,Serie A,2021-2022
6,Federico Santander,,"€ 35,577","€ 1,850,000",CF,30,,"Jun 30, 2022",1-yr,"€ 1,850,000",Bologna,Serie A,2021-2022
7,Lukasz Skorupski,,"€ 32,115","€ 1,670,000",GK,30,,"Jun 30, 2023",2-yrs,"€ 3,340,000",Bologna,Serie A,2021-2022
8,Lorenzo De Silvestri,,"€ 32,115","€ 1,670,000",RB,33,,"Jun 30, 2022",1-yr,"€ 1,670,000",Bologna,Serie A,2021-2022
9,Musa Barrow,,"€ 28,462","€ 1,480,000",CF,22,,"Jun 30, 2024",3-yrs,"€ 4,440,000",Bologna,Serie A,2021-2022
10,Mitchell Dijks,,"€ 28,462","€ 1,480,000",LB,28,,"Jun 30, 2023",2-yrs,"€ 2,960,000",Bologna,Serie A,2021-2022
11,Ibrahima Mbaye,,"€ 26,731","€ 1,390,000",RB,26,,"Jun 30, 2023",2-yrs,"€ 2,780,000",Bologna,Serie A,2021-2022
12,Stefano Denswil,,"€ 19,808","€ 1,030,000",CB,28,,"Jun 30, 2022",1-yr,"€ 1,030,000",Bologna,Serie A,2021-2022
13,Andreas Skov Olsen,,"€ 19,808","€ 1,030,000",RW,21,,"Jun 30, 2024",3-yrs,"€ 3,090,000",Bologna,Serie A,2021-2022
14,Mattias Svanberg,,"€ 17,885","€ 930,000",CM,22,,"Jun 30, 2023",2-yrs,"€ 1,860,000",Bologna,Serie A,2021-2022
15,Nicolás Domínguez,,"€ 17,308","€ 900,000",CM,23,,"Jun 30, 2024",3-yrs,"€ 2,700,000",Bologna,Serie A,2021-2022
16,Nehuén Paz,,"€ 15,962","€ 830,000",CB,28,,"Jun 30, 2022",1-yr,"€ 830,000",Bologna,Serie A,2021-2022
17,Takehiro Tomiyasu,,"€ 14,808","€ 770,000",CB,22,,"Jun 30, 2024",3-yrs,"€ 2,310,000",Bologna,Serie A,2021-2022
18,Jerdy Schouten,,"€ 12,308","€ 640,000",CM,24,,"Jun 30, 2024",3-yrs,"€ 1,920,000",Bologna,Serie A,2021-2022
19,Aaron Hickey,,"€ 11,154","€ 580,000",LB,19,,"Jun 30, 2024",3-yrs,"€ 1,740,000",Bologna,Serie A,2021-2022
20,Sydney van Hooijdonk,,"€ 11,154","€ 580,000",CF,21,,"Jun 30, 2025",4-yrs,"€ 2,320,000",Bologna,Serie A,2021-2022
21,Emanuel Vignato,,"€ 10,769","€ 560,000",RW,20,,"Jun 30, 2024",3-yrs,"€ 1,680,000",Bologna,Serie A,2021-2022
22,Arturo Calabresi,,"€ 8,846","€ 460,000",CB,25,,"Jun 30, 2022",1-yr,"€ 460,000",Bologna,Serie A,2021-2022
23,Kingsley Michael,,"€ 5,385","€ 280,000",CM,21,,"Jun 30, 2024",3-yrs,"€ 840,000",Bologna,Serie A,2021-2022
24,Andri Fannar Baldursson,,"€ 5,385","€ 280,000",CM,19,,"Jun 30, 2025",4-yrs,"€ 1,120,000",Bologna,Serie A,2021-2022
25,Federico Ravaglia,,"€ 1,154","€ 60,000",GK,21,,"Jun 30, 2023",2-yrs,"€ 120,000",Bologna,Serie A,2021-2022
26,Mouhamadou Sarr,,€ 0,€ 0,GK,24,,"Jun 30, 2022",1-yr,€ 0,Bologna,Serie A,2021-2022
27,Gabriele Corbo,,€ 0,€ 0,CB,21,,"Jun 30, 2023",2-yrs,€ 0,Bologna,Serie A,2021-2022
28,Francesco Bardi,,€ 0,€ 0,GK,29,,"Jun 30, 2022",1-yr,€ 0,Bologna,Serie A,2021-2022
29,Luis Binks,,€ 0,€ 0,CB,19,,"Jun 30, 2024",3-yrs,€ 0,Bologna,Serie A,2021-2022
30,Gianmarco Cangiano,,€ 0,€ 0,LW,19,,"Jun 30, 2024",3-yrs,€ 0,Bologna,Serie A,2021-2022
31,Omar Khailoti,,€ 0,€ 0,CB,19,,"Jun 30, 2022",1-yr,€ 0,Bologna,Serie A,2021-2022
32,Orji Okwonkwo,,€ 0,€ 0,RW,23,,"Jun 30, 2022",1-yr,€ 0,Bologna,Serie A,2021-2022
33,Diego Falcinelli,,€ 0,€ 0,CF,30,,"Jun 30, 2022",1-yr,€ 0,Bologna,Serie A,2021-2022
34,Godfred Donsah,,€ 0,€ 0,CM,25,,"Jun 30, 2022",1-yr,€ 0,Bologna,Serie A,2021-2022
35,Kacper Urbanski,,€ 0,€ 0,AM,16,,"Jun 30, 2025",4-yrs,€ 0,Bologna,Serie A,2021-2022
36,Adama Soumaoro,,€ 0,€ 0,CB,29,,"Jun 30, 2024",3-yrs,€ 0,Bologna,Serie A,2021-2022
37,Kevin Bonifazi,,€ 0,€ 0,CB,25,,"Jun 30, 2025",4-yrs,€ 0,Bologna,Serie A,2021-2022
