Rank,Club,Country,Level,Elo,From,To
None,Arsenal,ENG,1,1551.14025879,1946-07-07,1946-08-31
None,Arsenal,ENG,1,1539.57006836,1946-09-01,1946-09-04
None,Arsenal,ENG,1,1525.44946289,1946-09-05,1946-09-07
None,Arsenal,ENG,1,1523.85559082,1946-09-08,1946-09-11
None,Arsenal,ENG,1,1518.93933105,1946-09-12,1946-09-14
None,Arsenal,ENG,1,1535.03918457,1946-09-15,1946-09-17
None,Arsenal,ENG,1,1546.49584961,1946-09-18,1946-09-21
None,Arsenal,ENG,1,1535.98730469,1946-09-22,1946-09-28
None,Arsenal,ENG,1,1528.82800293,1946-09-29,1946-09-29
None,Arsenal,ENG,1,1545.82800293,1946-09-30,1946-10-03
None,Arsenal,ENG,1,1551.82800293,1946-10-04,1946-10-05
None,Arsenal,ENG,1,1547.92956543,1946-10-06,1946-10-12
None,Arsenal,ENG,1,1545.52709961,1946-10-13,1946-10-19
None,Arsenal,ENG,1,1552.55834961,1946-10-20,1946-10-26
None,Arsenal,ENG,1,1547.40270996,1946-10-27,1946-11-02
None,Arsenal,ENG,1,1537.89294434,1946-11-03,1946-11-09
None,Arsenal,ENG,1,1531.86901855,1946-11-10,1946-11-16
None,Arsenal,ENG,1,1555.39660645,1946-11-17,1946-11-23
None,Arsenal,ENG,1,1550.81604004,1946-11-24,1946-11-30
None,Arsenal,ENG,1,1553.04052734,1946-12-01,1946-12-07
None,Arsenal,ENG,1,1547.69750977,1946-12-08,1946-12-14
None,Arsenal,ENG,1,1553.13183594,1946-12-15,1946-12-21
None,Arsenal,ENG,1,1555.99987793,1946-12-22,1946-12-25
None,Arsenal,ENG,1,1561.74523926,1946-12-26,1946-12-26
None,Arsenal,ENG,1,1575.52722168,1946-12-27,1946-12-28
None,Arsenal,ENG,1,1576.5546875,1946-12-29,1947-01-04
None,Arsenal,ENG,1,1593.55834961,1947-01-05,1947-01-18
None,Arsenal,ENG,1,1579.96948242,1947-01-19,1947-02-01
None,Arsenal,ENG,1,1594.34545898,1947-02-02,1947-02-08
None,Arsenal,ENG,1,1591.61779785,1947-02-09,1947-02-22
None,Arsenal,ENG,1,1586.14111328,1947-02-23,1947-03-01
None,Arsenal,ENG,1,1576.10168457,1947-03-02,1947-03-15
None,Arsenal,ENG,1,1587.71289062,1947-03-16,1947-03-22
None,Arsenal,ENG,1,1588.06481934,1947-03-23,1947-04-04
None,Arsenal,ENG,1,1576.78771973,1947-04-05,1947-04-05
None,Arsenal,ENG,1,1591.37597656,1947-04-06,1947-04-07
None,Arsenal,ENG,1,1593.15136719,1947-04-08,1947-04-12
None,Arsenal,ENG,1,1603.94494629,1947-04-13,1947-04-13
None,Arsenal,ENG,1,1593.94494629,1947-04-14,1947-04-19
None,Arsenal,ENG,1,1594.86157227,1947-04-20,1947-04-26
None,Arsenal,ENG,1,1600.43640137,1947-04-27,1947-05-04
None,Arsenal,ENG,1,1604.43640137,1947-05-05,1947-05-10
None,Arsenal,ENG,1,1613.92358398,1947-05-11,1947-05-20
None,Arsenal,ENG,1,1600.92358398,1947-05-21,1947-05-24
None,Arsenal,ENG,1,1591.99182129,1947-05-25,1947-05-26
None,Arsenal,ENG,1,1615.79675293,1947-05-27,1947-05-31
None,Arsenal,ENG,1,1620.98217773,1947-06-01,1947-06-07
None,Arsenal,ENG,1,1615.88061523,1947-06-08,1947-08-23
None,Arsenal,ENG,1,1622.97631836,1947-08-24,1947-08-27
None,Arsenal,ENG,1,1635.56774902,1947-08-28,1947-08-30
None,Arsenal,ENG,1,1645.09191895,1947-08-31,1947-09-03
None,Arsenal,ENG,1,1653.11120605,1947-09-04,1947-09-06
None,Arsenal,ENG,1,1659.70568848,1947-09-07,1947-09-10
None,Arsenal,ENG,1,1663.72485352,1947-09-11,1947-09-13
None,Arsenal,ENG,1,1665.63183594,1947-09-14,1947-09-20
None,Arsenal,ENG,1,1673.40576172,1947-09-21,1947-09-27
None,Arsenal,ENG,1,1685.0723877,1947-09-28,1947-10-04
None,Arsenal,ENG,1,1681.10522461,1947-10-05,1947-10-11
None,Arsenal,ENG,1,1684.84130859,1947-10-12,1947-10-18
None,Arsenal,ENG,1,1687.56481934,1947-10-19,1947-10-19
None,Arsenal,ENG,1,1715.56481934,1947-10-20,1947-10-25
None,Arsenal,ENG,1,1710.3972168,1947-10-26,1947-11-01
None,Arsenal,ENG,1,1710.10131836,1947-11-02,1947-11-08
None,Arsenal,ENG,1,1697.14990234,1947-11-09,1947-11-15
None,Arsenal,ENG,1,1704.98132324,1947-11-16,1947-11-22
None,Arsenal,ENG,1,1714.87182617,1947-11-23,1947-11-29
None,Arsenal,ENG,1,1707.83032227,1947-11-30,1947-12-06
None,Arsenal,ENG,1,1702.00891113,1947-12-07,1947-12-13
None,Arsenal,ENG,1,1712.7331543,1947-12-14,1947-12-20
None,Arsenal,ENG,1,1712.56848145,1947-12-21,1947-12-25
None,Arsenal,ENG,1,1725.65466309,1947-12-26,1947-12-27
None,Arsenal,ENG,1,1713.48120117,1947-12-28,1948-01-01
None,Arsenal,ENG,1,1719.2388916,1948-01-02,1948-01-03
None,Arsenal,ENG,1,1722.41088867,1948-01-04,1948-01-17
None,Arsenal,ENG,1,1725.33850098,1948-01-18,1948-01-31
None,Arsenal,ENG,1,1731.96948242,1948-02-01,1948-02-07
None,Arsenal,ENG,1,1731.88452148,1948-02-08,1948-02-14
None,Arsenal,ENG,1,1738.65368652,1948-02-15,1948-02-28
None,Arsenal,ENG,1,1728.04199219,1948-02-29,1948-03-06
None,Arsenal,ENG,1,1734.92468262,1948-03-07,1948-03-13
None,Arsenal,ENG,1,1745.55822754,1948-03-14,1948-03-20
None,Arsenal,ENG,1,1724.95861816,1948-03-21,1948-03-26
None,Arsenal,ENG,1,1733.50671387,1948-03-27,1948-03-27
None,Arsenal,ENG,1,1719.64147949,1948-03-28,1948-03-29
None,Arsenal,ENG,1,1718.97399902,1948-03-30,1948-04-03
None,Arsenal,ENG,1,1722.5291748,1948-04-04,1948-04-10
None,Arsenal,ENG,1,1720.96032715,1948-04-11,1948-04-11
None,Arsenal,ENG,1,1743.96032715,1948-04-12,1948-04-17
None,Arsenal,ENG,1,1731.70837402,1948-04-18,1948-04-21
