Rank,Club,Country,Level,Elo,From,To
None,Watford,ENG,2,1407.7208252,1969-07-01,1969-08-09
None,Watford,ENG,2,1404.1048584,1969-08-10,1969-08-16
None,Watford,ENG,2,1402.36877441,1969-08-17,1969-08-20
None,Watford,ENG,2,1394.42736816,1969-08-21,1969-08-23
None,Watford,ENG,2,1400.58422852,1969-08-24,1969-08-25
None,Watford,ENG,2,1392.51025391,1969-08-26,1969-08-30
None,Watford,ENG,2,1386.7713623,1969-08-31,1969-09-06
None,Watford,ENG,2,1382.26403809,1969-09-07,1969-09-13
None,Watford,ENG,2,1393.83703613,1969-09-14,1969-09-17
None,Watford,ENG,2,1398.49145508,1969-09-18,1969-09-20
None,Watford,ENG,2,1421.93859863,1969-09-21,1969-09-27
None,Watford,ENG,2,1408.96911621,1969-09-28,1969-10-01
None,Watford,ENG,2,1412.72814941,1969-10-02,1969-10-04
None,Watford,ENG,2,1410.29748535,1969-10-05,1969-10-08
None,Watford,ENG,2,1421.98461914,1969-10-09,1969-10-11
None,Watford,ENG,2,1413.5279541,1969-10-12,1969-10-18
None,Watford,ENG,2,1426.31738281,1969-10-19,1969-10-25
None,Watford,ENG,2,1421.10302734,1969-10-26,1969-11-01
None,Watford,ENG,2,1413.57165527,1969-11-02,1969-11-08
None,Watford,ENG,2,1409.54382324,1969-11-09,1969-11-11
None,Watford,ENG,2,1407.0045166,1969-11-12,1969-11-12
None,Watford,ENG,2,1404.05126953,1969-11-13,1969-11-15
None,Watford,ENG,2,1402.84082031,1969-11-16,1969-11-22
None,Watford,ENG,2,1407.72363281,1969-11-23,1969-11-26
None,Watford,ENG,2,1403.93725586,1969-11-27,1969-12-06
None,Watford,ENG,2,1399.39855957,1969-12-07,1969-12-13
None,Watford,ENG,2,1416.35058594,1969-12-14,1969-12-20
None,Watford,ENG,2,1424.80786133,1969-12-21,1969-12-26
None,Watford,ENG,2,1422.86413574,1969-12-27,1969-12-27
None,Watford,ENG,2,1429.52490234,1969-12-28,1970-01-10
None,Watford,ENG,2,1421.92590332,1970-01-11,1970-01-17
None,Watford,ENG,2,1418.05371094,1970-01-18,1970-01-31
None,Watford,ENG,2,1426.61682129,1970-02-01,1970-02-10
None,Watford,ENG,2,1418.67163086,1970-02-11,1970-02-14
None,Watford,ENG,2,1428.94238281,1970-02-15,1970-02-24
None,Watford,ENG,2,1427.51000977,1970-02-25,1970-02-28
None,Watford,ENG,2,1431.99853516,1970-03-01,1970-03-04
None,Watford,ENG,2,1435.57177734,1970-03-05,1970-03-06
None,Watford,ENG,2,1433.58642578,1970-03-07,1970-03-17
None,Watford,ENG,2,1434.63183594,1970-03-18,1970-03-18
None,Watford,ENG,2,1435.0501709,1970-03-19,1970-03-21
None,Watford,ENG,2,1442.86657715,1970-03-22,1970-03-27
None,Watford,ENG,2,1435.08776855,1970-03-28,1970-03-28
None,Watford,ENG,2,1431.53710938,1970-03-29,1970-04-01
None,Watford,ENG,2,1415.89855957,1970-04-02,1970-04-04
None,Watford,ENG,2,1412.65771484,1970-04-05,1970-04-07
None,Watford,ENG,2,1412.47009277,1970-04-08,1970-04-14
None,Watford,ENG,2,1409.3515625,1970-04-15,1970-04-15
None,Watford,ENG,2,1420.35510254,1970-04-16,1970-04-18
None,Watford,ENG,2,1425.69091797,1970-04-19,1970-04-29
None,Watford,ENG,2,1429.6706543,1970-04-30,1970-08-15
None,Watford,ENG,2,1436.65136719,1970-08-16,1970-08-22
None,Watford,ENG,2,1442.81762695,1970-08-23,1970-08-29
None,Watford,ENG,2,1435.11450195,1970-08-30,1970-09-01
None,Watford,ENG,2,1439.90185547,1970-09-02,1970-09-05
None,Watford,ENG,2,1443.99304199,1970-09-06,1970-09-12
None,Watford,ENG,2,1442.84777832,1970-09-13,1970-09-16
None,Watford,ENG,2,1442.5904541,1970-09-17,1970-09-19
None,Watford,ENG,2,1437.89172363,1970-09-20,1970-09-23
None,Watford,ENG,2,1437.90283203,1970-09-24,1970-09-26
None,Watford,ENG,2,1438.76452637,1970-09-27,1970-09-30
None,Watford,ENG,2,1450.08325195,1970-10-01,1970-10-03
None,Watford,ENG,2,1439.04260254,1970-10-04,1970-10-10
None,Watford,ENG,2,1431.45568848,1970-10-11,1970-10-17
None,Watford,ENG,2,1442.8885498,1970-10-18,1970-10-19
None,Watford,ENG,2,1435.80102539,1970-10-20,1970-10-21
None,Watford,ENG,2,1453.72424316,1970-10-22,1970-10-24
None,Watford,ENG,2,1459.06726074,1970-10-25,1970-10-31
None,Watford,ENG,2,1464.4128418,1970-11-01,1970-11-04
None,Watford,ENG,2,1463.22229004,1970-11-05,1970-11-07
None,Watford,ENG,2,1457.33996582,1970-11-08,1970-11-14
None,Watford,ENG,2,1447.94555664,1970-11-15,1970-11-21
None,Watford,ENG,2,1450.29724121,1970-11-22,1970-11-28
None,Watford,ENG,2,1447.80004883,1970-11-29,1970-12-05
None,Watford,ENG,2,1444.38012695,1970-12-06,1970-12-12
None,Watford,ENG,2,1436.6192627,1970-12-13,1970-12-19
None,Watford,ENG,2,1437.83056641,1970-12-20,1971-01-09
None,Watford,ENG,2,1434.54882812,1971-01-10,1971-01-16
None,Watford,ENG,2,1419.61975098,1971-01-17,1971-01-30
None,Watford,ENG,2,1430.95935059,1971-01-31,1971-02-06
None,Watford,ENG,2,1444.92358398,1971-02-07,1971-02-13
None,Watford,ENG,2,1441.34057617,1971-02-14,1971-02-20
None,Watford,ENG,2,1438.45019531,1971-02-21,1971-02-26
None,Watford,ENG,2,1448.12060547,1971-02-27,1971-03-02
None,Watford,ENG,2,1457.79077148,1971-03-03,1971-03-06
None,Watford,ENG,2,1452.1895752,1971-03-07,1971-03-09
None,Watford,ENG,2,1448.15063477,1971-03-10,1971-03-10
None,Watford,ENG,2,1439.29382324,1971-03-11,1971-03-13
None,Watford,ENG,2,1420.09375,1971-03-14,1971-03-20
