,Player,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),"Adj. GrossBase Salary(2021, IN EUR)",Pos.,Age,Country,Team,League,Season
0,John Guidetti,"€ 27,346","€ 1,422,000","€ 1,427,327",F,25,Sweden,Alaves,La Liga,2017-2018
1,Daniel Torres,"€ 23,788","€ 1,237,000","€ 1,241,634",M,27,Colombia,Alaves,La Liga,2017-2018
2,Tomás Pina,"€ 22,038","€ 1,146,000","€ 1,150,293",M,29,Spain,Alaves,La Liga,2017-2018
3,Hernán Pérez,"€ 22,019","€ 1,145,000","€ 1,149,289",F,28,Paraguay,Alaves,La Liga,2017-2018
4,Ibai Gómez,"€ 17,346","€ 902,000","€ 905,379",F,27,Spain,Alaves,La Liga,2017-2018
5,Alexis,"€ 16,942","€ 881,000","€ 884,300",D,31,Spain,Alaves,La Liga,2017-2018
6,Álvaro Medrán,"€ 15,885","€ 826,000","€ 829,094",M,23,Spain,Alaves,La Liga,2017-2018
7,Alfonso Pedraza,"€ 14,365","€ 747,000","€ 749,798",F,21,Spain,Alaves,La Liga,2017-2018
8,Héctor Hernández,"€ 13,192","€ 686,000","€ 688,570",D,26,Spain,Alaves,La Liga,2017-2018
9,Fernando Pacheco,"€ 12,981","€ 675,000","€ 677,529",K,25,Spain,Alaves,La Liga,2017-2018
10,Rubén Sobrino,"€ 12,346","€ 642,000","€ 644,405",F,25,Spain,Alaves,La Liga,2017-2018
11,Burgui,"€ 12,346","€ 642,000","€ 644,405",F,23,Spain,Alaves,La Liga,2017-2018
12,Mubarak Wakaso,"€ 11,654","€ 606,000","€ 608,270",M,26,Ghana,Alaves,La Liga,2017-2018
13,Rubén Duarte,"€ 11,558","€ 601,000","€ 603,251",D,21,Spain,Alaves,La Liga,2017-2018
14,Rodrigo Ely,"€ 11,000","€ 572,000","€ 574,143",D,23,Brazil,Alaves,La Liga,2017-2018
15,Manu García,"€ 10,327","€ 537,000","€ 539,012",M,31,Spain,Alaves,La Liga,2017-2018
16,Carlos Vigaray,"€ 10,154","€ 528,000","€ 529,978",D,22,Spain,Alaves,La Liga,2017-2018
17,Víctor Laguardia,"€ 10,135","€ 527,000","€ 528,974",D,27,Spain,Alaves,La Liga,2017-2018
18,Christian Santos,"€ 10,077","€ 524,000","€ 525,963",F,29,Venezuela,Alaves,La Liga,2017-2018
19,Guillermo Maripán,"€ 8,500","€ 442,000","€ 443,656",D,23,Chile,Alaves,La Liga,2017-2018
20,Antonio Sivera,"€ 5,481","€ 285,000","€ 286,068",K,20,Spain,Alaves,La Liga,2017-2018
21,Adrián Diéguez,€ 673,"€ 35,000","€ 35,131",D,21,Spain,Alaves,La Liga,2017-2018
22,Ermedin Demirovic,€ 596,"€ 31,000","€ 31,116",F,19,Bosnia-Herzegovina,Alaves,La Liga,2017-2018
23,Víctor López,€ 538,"€ 28,000","€ 28,105",F,20,Spain,Alaves,La Liga,2017-2018
24,Aritz Castro,€ 346,"€ 18,000","€ 18,067",K,19,Spain,Alaves,La Liga,2017-2018
25,Ioritz Landeta,€ 135,"€ 7,000","€ 7,026",K,21,Spain,Alaves,La Liga,2017-2018
26,Óscar Romero,€ 0,€ 0,€ 0,M,24,Paraguay,Alaves,La Liga,2017-2018
27,Enzo Zidane,€ 0,€ 0,€ 0,M,22,France,Alaves,La Liga,2017-2018
28,Einar Galilea,€ 0,€ 0,€ 0,M,23,Spain,Alaves,La Liga,2017-2018
29,Bojan Krkic,€ 0,€ 0,€ 0,F,26,Spain,Alaves,La Liga,2017-2018
30,Munir El Haddadi,€ 0,€ 0,€ 0,F,21,Spain,Alaves,La Liga,2017-2018
31,Aleksandar Katai,€ 0,€ 0,€ 0,F,26,Serbia,Alaves,La Liga,2017-2018
32,Martin Aguirregabiria,€ 0,€ 0,€ 0,D,21,Spain,Alaves,La Liga,2017-2018
