Rank,Club,Country,Level,Elo,From,To
None,Albacete,ESP,2,1357.5994873,1985-07-01,1985-09-01
None,Albacete,ESP,2,1355.16174316,1985-09-02,1985-09-08
None,Albacete,ESP,2,1349.3112793,1985-09-09,1985-09-14
None,Albacete,ESP,2,1355.18847656,1985-09-15,1985-09-18
None,Albacete,ESP,2,1358.22497559,1985-09-19,1985-09-22
None,Albacete,ESP,2,1354.81799316,1985-09-23,1985-09-29
None,Albacete,ESP,2,1352.78430176,1985-09-30,1985-10-02
None,Albacete,ESP,2,1365.64172363,1985-10-03,1985-10-06
None,Albacete,ESP,2,1358.61608887,1985-10-07,1985-10-12
None,Albacete,ESP,2,1351.33642578,1985-10-13,1985-10-19
None,Albacete,ESP,2,1364.8717041,1985-10-20,1985-10-23
None,Albacete,ESP,2,1373.09521484,1985-10-24,1985-10-27
None,Albacete,ESP,2,1370.50622559,1985-10-28,1985-11-03
None,Albacete,ESP,2,1377.75341797,1985-11-04,1985-11-06
None,Albacete,ESP,2,1381.15441895,1985-11-07,1985-11-07
None,Albacete,ESP,2,1380.73022461,1985-11-08,1985-11-10
None,Albacete,ESP,2,1386.6739502,1985-11-11,1985-11-17
None,Albacete,ESP,2,1382.24511719,1985-11-18,1985-11-24
None,Albacete,ESP,2,1390.96325684,1985-11-25,1985-11-27
None,Albacete,ESP,2,1382.3684082,1985-11-28,1985-12-01
None,Albacete,ESP,2,1378.02770996,1985-12-02,1985-12-08
None,Albacete,ESP,2,1364.09960938,1985-12-09,1985-12-11
None,Albacete,ESP,2,1367.34631348,1985-12-12,1985-12-15
None,Albacete,ESP,2,1361.64050293,1985-12-16,1985-12-22
None,Albacete,ESP,2,1368.54711914,1985-12-23,1985-12-29
None,Albacete,ESP,2,1378.44787598,1985-12-30,1986-01-05
None,Albacete,ESP,2,1370.52624512,1986-01-06,1986-01-12
None,Albacete,ESP,2,1383.91210938,1986-01-13,1986-01-19
None,Albacete,ESP,2,1389.00415039,1986-01-20,1986-01-26
None,Albacete,ESP,2,1383.72790527,1986-01-27,1986-02-02
None,Albacete,ESP,2,1374.23400879,1986-02-03,1986-02-09
None,Albacete,ESP,2,1371.09448242,1986-02-10,1986-02-16
None,Albacete,ESP,2,1369.4017334,1986-02-17,1986-02-23
None,Albacete,ESP,2,1366.93737793,1986-02-24,1986-03-02
None,Albacete,ESP,2,1373.28088379,1986-03-03,1986-03-05
None,Albacete,ESP,2,1382.93103027,1986-03-06,1986-03-09
None,Albacete,ESP,2,1374.68359375,1986-03-10,1986-03-16
None,Albacete,ESP,2,1365.90234375,1986-03-17,1986-03-19
None,Albacete,ESP,2,1368.73791504,1986-03-20,1986-03-23
None,Albacete,ESP,2,1374.93200684,1986-03-24,1986-03-30
None,Albacete,ESP,2,1383.12353516,1986-03-31,1986-04-02
None,Albacete,ESP,2,1371.18322754,1986-04-03,1986-04-06
None,Albacete,ESP,2,1363.61279297,1986-04-07,1986-04-13
None,Albacete,ESP,2,1367.5324707,1986-04-14,1986-04-16
None,Albacete,ESP,2,1386.15930176,1986-04-17,1986-04-19
None,Albacete,ESP,2,1378.14050293,1986-04-20,1986-04-27
None,Albacete,ESP,2,1384.7298584,1986-04-28,1986-04-30
None,Albacete,ESP,2,1387.35131836,1986-05-01,1986-05-02
None,Albacete,ESP,2,1380.84179688,1986-05-03,1986-05-03
None,Albacete,ESP,2,1376.38537598,1986-05-04,1986-05-06
None,Albacete,ESP,2,1375.98022461,1986-05-07,1986-05-07
None,Albacete,ESP,2,1375.45532227,1986-05-08,1986-05-11
None,Albacete,ESP,2,1372.41430664,1986-05-12,1986-05-18
None,Albacete,ESP,2,1371.76196289,1986-05-19,1986-07-03
None,Albacete,ESP,2,1332.92871094,1990-07-02,1990-09-02
None,Albacete,ESP,2,1342.79394531,1990-09-03,1990-09-09
None,Albacete,ESP,2,1337.60107422,1990-09-10,1990-09-15
None,Albacete,ESP,2,1347.390625,1990-09-16,1990-09-18
None,Albacete,ESP,2,1347.72155762,1990-09-19,1990-09-19
None,Albacete,ESP,2,1338.31359863,1990-09-20,1990-09-23
None,Albacete,ESP,2,1334.72314453,1990-09-24,1990-09-30
None,Albacete,ESP,2,1342.64196777,1990-10-01,1990-10-02
None,Albacete,ESP,2,1345.45031738,1990-10-03,1990-10-03
None,Albacete,ESP,2,1340.20117188,1990-10-04,1990-10-07
None,Albacete,ESP,2,1345.84106445,1990-10-08,1990-10-14
None,Albacete,ESP,2,1359.54650879,1990-10-15,1990-10-21
None,Albacete,ESP,2,1354.71435547,1990-10-22,1990-10-23
None,Albacete,ESP,2,1354.72705078,1990-10-24,1990-10-24
None,Albacete,ESP,2,1351.58215332,1990-10-25,1990-10-28
None,Albacete,ESP,2,1360.23718262,1990-10-29,1990-11-04
None,Albacete,ESP,2,1370.07458496,1990-11-05,1990-11-07
None,Albacete,ESP,2,1364.79968262,1990-11-08,1990-11-18
None,Albacete,ESP,2,1376.82373047,1990-11-19,1990-11-24
None,Albacete,ESP,2,1401.51733398,1990-11-25,1990-12-02
None,Albacete,ESP,2,1405.35754395,1990-12-03,1990-12-09
None,Albacete,ESP,2,1400.56274414,1990-12-10,1990-12-16
None,Albacete,ESP,2,1397.1529541,1990-12-17,1990-12-30
None,Albacete,ESP,2,1393.0078125,1990-12-31,1991-01-06
None,Albacete,ESP,2,1412.40478516,1991-01-07,1991-01-13
None,Albacete,ESP,2,1421.45959473,1991-01-14,1991-01-20
None,Albacete,ESP,2,1432.50756836,1991-01-21,1991-01-27
None,Albacete,ESP,2,1434.32788086,1991-01-28,1991-02-03
None,Albacete,ESP,2,1439.94873047,1991-02-04,1991-02-10
None,Albacete,ESP,2,1451.99438477,1991-02-11,1991-02-24
None,Albacete,ESP,2,1450.22900391,1991-02-25,1991-03-03
None,Albacete,ESP,2,1441.72143555,1991-03-04,1991-03-06
None,Albacete,ESP,2,1447.93139648,1991-03-07,1991-03-10
None,Albacete,ESP,2,1443.84936523,1991-03-11,1991-03-17
None,Albacete,ESP,2,1453.69470215,1991-03-18,1991-03-19
None,Albacete,ESP,2,1451.91796875,1991-03-20,1991-03-20
None,Albacete,ESP,2,1440.4465332,1991-03-21,1991-03-24
None,Albacete,ESP,2,1436.07080078,1991-03-25,1991-03-31
None,Albacete,ESP,2,1432.13354492,1991-04-01,1991-04-07
None,Albacete,ESP,2,1427.5982666,1991-04-08,1991-04-10
None,Albacete,ESP,2,1431.25915527,1991-04-11,1991-04-14
None,Albacete,ESP,2,1423.84533691,1991-04-15,1991-04-21
None,Albacete,ESP,2,1419.77490234,1991-04-22,1991-04-24
None,Albacete,ESP,2,1421.83520508,1991-04-25,1991-04-28
None,Albacete,ESP,2,1418.2902832,1991-04-29,1991-05-05
None,Albacete,ESP,2,1421.11791992,1991-05-06,1991-05-12
None,Albacete,ESP,2,1419.6463623,1991-05-13,1991-05-15
None,Albacete,ESP,2,1415.39733887,1991-05-16,1991-05-19
None,Albacete,ESP,2,1425.01647949,1991-05-20,1991-05-26
None,Albacete,ESP,2,1431.69287109,1991-05-27,1991-06-02
None,Albacete,ESP,2,1447.76000977,1991-06-03,1991-06-09
None,Albacete,ESP,2,1453.17663574,1991-06-10,1991-07-01
None,Albacete,ESP,1,1453.17663574,1991-07-02,1991-09-01
None,Albacete,ESP,1,1450.20263672,1991-09-02,1991-09-08
None,Albacete,ESP,1,1460.83068848,1991-09-09,1991-09-11
None,Albacete,ESP,1,1458.64111328,1991-09-12,1991-09-15
None,Albacete,ESP,1,1471.87890625,1991-09-16,1991-09-18
None,Albacete,ESP,1,1479.21240234,1991-09-19,1991-09-19
None,Albacete,ESP,1,1481.42346191,1991-09-20,1991-09-29
None,Albacete,ESP,1,1471.82116699,1991-09-30,1991-10-01
None,Albacete,ESP,1,1471.87207031,1991-10-02,1991-10-02
None,Albacete,ESP,1,1470.83886719,1991-10-03,1991-10-03
None,Albacete,ESP,1,1465.78820801,1991-10-04,1991-10-06
None,Albacete,ESP,1,1462.60229492,1991-10-07,1991-10-20
None,Albacete,ESP,1,1478.50854492,1991-10-21,1991-10-22
None,Albacete,ESP,1,1477.55114746,1991-10-23,1991-10-23
None,Albacete,ESP,1,1492.20715332,1991-10-24,1991-10-24
None,Albacete,ESP,1,1488.12963867,1991-10-25,1991-10-27
None,Albacete,ESP,1,1483.30163574,1991-10-28,1991-11-03
None,Albacete,ESP,1,1474.28259277,1991-11-04,1991-11-05
None,Albacete,ESP,1,1483.46862793,1991-11-06,1991-11-06
None,Albacete,ESP,1,1483.96081543,1991-11-07,1991-11-10
None,Albacete,ESP,1,1483.21875,1991-11-11,1991-11-17
None,Albacete,ESP,1,1495.10571289,1991-11-18,1991-11-24
None,Albacete,ESP,1,1499.01489258,1991-11-25,1991-11-27
None,Albacete,ESP,1,1494.27856445,1991-11-28,1991-11-30
None,Albacete,ESP,1,1499.32971191,1991-12-01,1991-12-08
None,Albacete,ESP,1,1508.00109863,1991-12-09,1991-12-11
None,Albacete,ESP,1,1508.79736328,1991-12-12,1991-12-12
None,Albacete,ESP,1,1511.4987793,1991-12-13,1991-12-15
None,Albacete,ESP,1,1523.62231445,1991-12-16,1991-12-22
None,Albacete,ESP,1,1529.00146484,1991-12-23,1992-01-05
None,Albacete,ESP,1,1542.38122559,1992-01-06,1992-01-12
None,Albacete,ESP,1,1542.93688965,1992-01-13,1992-01-19
None,Albacete,ESP,1,1556.11523438,1992-01-20,1992-01-26
None,Albacete,ESP,1,1569.92089844,1992-01-27,1992-02-02
None,Albacete,ESP,1,1576.8269043,1992-02-03,1992-02-09
None,Albacete,ESP,1,1583.1229248,1992-02-10,1992-02-16
None,Albacete,ESP,1,1579.4342041,1992-02-17,1992-02-23
None,Albacete,ESP,1,1581.84362793,1992-02-24,1992-03-01
None,Albacete,ESP,1,1589.95617676,1992-03-02,1992-03-04
None,Albacete,ESP,1,1597.36120605,1992-03-05,1992-03-08
None,Albacete,ESP,1,1591.80737305,1992-03-09,1992-03-15
None,Albacete,ESP,1,1590.25158691,1992-03-16,1992-03-18
None,Albacete,ESP,1,1588.55883789,1992-03-19,1992-03-22
96,Albacete,ESP,1,1606.2598877,1992-03-23,1992-03-28
None,Albacete,ESP,1,1598.37438965,1992-03-29,1992-04-01
None,Albacete,ESP,1,1595.69543457,1992-04-02,1992-04-05
99,Albacete,ESP,1,1599.31079102,1992-04-06,1992-04-12
95,Albacete,ESP,1,1606.69750977,1992-04-13,1992-04-14
96,Albacete,ESP,1,1606.69750977,1992-04-15,1992-04-15
97,Albacete,ESP,1,1602.58618164,1992-04-16,1992-04-18
100,Albacete,ESP,1,1598.74438477,1992-04-19,1992-04-22
None,Albacete,ESP,1,1598.74438477,1992-04-23,1992-04-25
100,Albacete,ESP,1,1598.74438477,1992-04-26,1992-04-26
None,Albacete,ESP,1,1591.47790527,1992-04-27,1992-05-03
None,Albacete,ESP,1,1595.67456055,1992-05-04,1992-05-10
None,Albacete,ESP,1,1588.24304199,1992-05-11,1992-05-17
None,Albacete,ESP,1,1578.75048828,1992-05-18,1992-05-20
None,Albacete,ESP,1,1583.23022461,1992-05-21,1992-05-24
None,Albacete,ESP,1,1579.0637207,1992-05-25,1992-05-31
None,Albacete,ESP,1,1587.2479248,1992-06-01,1992-06-07
None,Albacete,ESP,1,1583.69384766,1992-06-08,1992-09-06
None,Albacete,ESP,1,1572.74975586,1992-09-07,1992-09-13
None,Albacete,ESP,1,1565.67297363,1992-09-14,1992-09-15
None,Albacete,ESP,1,1565.17053223,1992-09-16,1992-09-16
None,Albacete,ESP,1,1559.71264648,1992-09-17,1992-09-17
None,Albacete,ESP,1,1550.59118652,1992-09-18,1992-09-20
None,Albacete,ESP,1,1540.81066895,1992-09-21,1992-09-26
None,Albacete,ESP,1,1538.3840332,1992-09-27,1992-09-29
None,Albacete,ESP,1,1538.93066406,1992-09-30,1992-09-30
None,Albacete,ESP,1,1545.85168457,1992-10-01,1992-10-04
None,Albacete,ESP,1,1551.95629883,1992-10-05,1992-10-07
None,Albacete,ESP,1,1560.43457031,1992-10-08,1992-10-18
None,Albacete,ESP,1,1571.65429688,1992-10-19,1992-10-21
None,Albacete,ESP,1,1574.96704102,1992-10-22,1992-10-22
None,Albacete,ESP,1,1577.77722168,1992-10-23,1992-10-25
None,Albacete,ESP,1,1573.97155762,1992-10-26,1992-11-01
None,Albacete,ESP,1,1571.87817383,1992-11-02,1992-11-03
None,Albacete,ESP,1,1574.11291504,1992-11-04,1992-11-04
None,Albacete,ESP,1,1563.31835938,1992-11-05,1992-11-08
None,Albacete,ESP,1,1561.48986816,1992-11-09,1992-11-22
None,Albacete,ESP,1,1557.74731445,1992-11-23,1992-11-24
None,Albacete,ESP,1,1555.6484375,1992-11-25,1992-11-26
None,Albacete,ESP,1,1557.9420166,1992-11-27,1992-11-29
None,Albacete,ESP,1,1564.7175293,1992-11-30,1992-12-06
None,Albacete,ESP,1,1558.85168457,1992-12-07,1992-12-08
None,Albacete,ESP,1,1558.23046875,1992-12-09,1992-12-10
None,Albacete,ESP,1,1558.82080078,1992-12-11,1992-12-13
None,Albacete,ESP,1,1545.20947266,1992-12-14,1992-12-20
None,Albacete,ESP,1,1539.33630371,1992-12-21,1993-01-03
None,Albacete,ESP,1,1549.77661133,1993-01-04,1993-01-10
None,Albacete,ESP,1,1553.85632324,1993-01-11,1993-01-17
None,Albacete,ESP,1,1559.16296387,1993-01-18,1993-01-24
None,Albacete,ESP,1,1561.46936035,1993-01-25,1993-01-31
None,Albacete,ESP,1,1557.36499023,1993-02-01,1993-02-07
None,Albacete,ESP,1,1555.82519531,1993-02-08,1993-02-14
None,Albacete,ESP,1,1551.1505127,1993-02-15,1993-02-21
None,Albacete,ESP,1,1543.75793457,1993-02-22,1993-02-28
None,Albacete,ESP,1,1549.34765625,1993-03-01,1993-03-02
None,Albacete,ESP,1,1551.91638184,1993-03-03,1993-03-04
None,Albacete,ESP,1,1553.39929199,1993-03-05,1993-03-07
None,Albacete,ESP,1,1548.00744629,1993-03-08,1993-03-14
None,Albacete,ESP,1,1549.71118164,1993-03-15,1993-03-17
None,Albacete,ESP,1,1551.62915039,1993-03-18,1993-03-18
None,Albacete,ESP,1,1541.81018066,1993-03-19,1993-03-21
None,Albacete,ESP,1,1553.49597168,1993-03-22,1993-04-03
None,Albacete,ESP,1,1563.05529785,1993-04-04,1993-04-06
None,Albacete,ESP,1,1559.29467773,1993-04-07,1993-04-11
None,Albacete,ESP,1,1556.42041016,1993-04-12,1993-04-18
None,Albacete,ESP,1,1549.22180176,1993-04-19,1993-04-22
None,Albacete,ESP,1,1550.81799316,1993-04-23,1993-05-02
None,Albacete,ESP,1,1545.13623047,1993-05-03,1993-05-16
None,Albacete,ESP,1,1556.77307129,1993-05-17,1993-05-23
None,Albacete,ESP,1,1564.7578125,1993-05-24,1993-05-26
None,Albacete,ESP,1,1554.32885742,1993-05-27,1993-05-30
None,Albacete,ESP,1,1555.12597656,1993-05-31,1993-06-06
None,Albacete,ESP,1,1564.06005859,1993-06-07,1993-06-13
None,Albacete,ESP,1,1565.83178711,1993-06-14,1993-06-20
None,Albacete,ESP,1,1571.49694824,1993-06-21,1993-09-05
None,Albacete,ESP,1,1563.48376465,1993-09-06,1993-09-12
None,Albacete,ESP,1,1567.93493652,1993-09-13,1993-09-14
None,Albacete,ESP,1,1564.44592285,1993-09-15,1993-09-15
None,Albacete,ESP,1,1558.32971191,1993-09-16,1993-09-16
None,Albacete,ESP,1,1560.69226074,1993-09-17,1993-09-19
None,Albacete,ESP,1,1563.31396484,1993-09-20,1993-09-26
None,Albacete,ESP,1,1569.0111084,1993-09-27,1993-09-28
None,Albacete,ESP,1,1578.57788086,1993-09-29,1993-09-29
None,Albacete,ESP,1,1594.75476074,1993-09-30,1993-09-30
None,Albacete,ESP,1,1597.7833252,1993-10-01,1993-10-03
None,Albacete,ESP,1,1591.61193848,1993-10-04,1993-10-06
None,Albacete,ESP,1,1592.62536621,1993-10-07,1993-10-17
None,Albacete,ESP,1,1595.24645996,1993-10-18,1993-10-19
None,Albacete,ESP,1,1592.54675293,1993-10-20,1993-10-20
None,Albacete,ESP,1,1597.578125,1993-10-21,1993-10-24
None,Albacete,ESP,1,1597.92272949,1993-10-25,1993-10-31
None,Albacete,ESP,1,1599.21228027,1993-11-01,1993-11-02
None,Albacete,ESP,1,1572.3137207,1993-11-03,1993-11-03
None,Albacete,ESP,1,1583.53942871,1993-11-04,1993-11-04
None,Albacete,ESP,1,1586.38476562,1993-11-05,1993-11-07
None,Albacete,ESP,1,1578.01611328,1993-11-08,1993-11-10
None,Albacete,ESP,1,1583.91455078,1993-11-11,1993-11-21
None,Albacete,ESP,1,1579.89550781,1993-11-22,1993-11-23
None,Albacete,ESP,1,1579.0567627,1993-11-24,1993-11-24
None,Albacete,ESP,1,1576.92016602,1993-11-25,1993-11-28
None,Albacete,ESP,1,1579.56433105,1993-11-29,1993-12-05
None,Albacete,ESP,1,1590.76831055,1993-12-06,1993-12-07
None,Albacete,ESP,1,1585.44287109,1993-12-08,1993-12-08
None,Albacete,ESP,1,1587.63586426,1993-12-09,1993-12-12
None,Albacete,ESP,1,1605.17785645,1993-12-13,1993-12-19
98,Albacete,ESP,1,1613.04833984,1993-12-20,1993-12-29
