Rank,Club,Country,Level,Elo,From,To
None,Elche,ESP,1,1595.83227539,1959-07-04,1959-09-03
None,Elche,ESP,1,1595.90246582,1959-09-04,1959-09-13
None,Elche,ESP,1,1601.57189941,1959-09-14,1959-09-20
None,Elche,ESP,1,1613.36499023,1959-09-21,1959-09-23
None,Elche,ESP,1,1613.84729004,1959-09-24,1959-09-27
None,Elche,ESP,1,1610.47180176,1959-09-28,1959-10-04
None,Elche,ESP,1,1613.79052734,1959-10-05,1959-10-11
None,Elche,ESP,1,1610.22668457,1959-10-12,1959-10-18
None,Elche,ESP,1,1602.04504395,1959-10-19,1959-10-21
None,Elche,ESP,1,1602.05712891,1959-10-22,1959-10-25
None,Elche,ESP,1,1608.40161133,1959-10-26,1959-11-01
None,Elche,ESP,1,1614.13989258,1959-11-02,1959-11-04
None,Elche,ESP,1,1618.60327148,1959-11-05,1959-11-08
None,Elche,ESP,1,1614.56762695,1959-11-09,1959-11-15
None,Elche,ESP,1,1623.35803223,1959-11-16,1959-11-25
None,Elche,ESP,1,1625.77514648,1959-11-26,1959-11-29
None,Elche,ESP,1,1623.54943848,1959-11-30,1959-12-06
None,Elche,ESP,1,1617.47558594,1959-12-07,1959-12-13
None,Elche,ESP,1,1621.6282959,1959-12-14,1959-12-20
None,Elche,ESP,1,1619.09619141,1959-12-21,1959-12-27
73,Elche,ESP,1,1624.33703613,1959-12-28,1960-01-01
74,Elche,ESP,1,1624.33703613,1960-01-02,1960-01-02
75,Elche,ESP,1,1624.33703613,1960-01-03,1960-01-03
70,Elche,ESP,1,1627.89221191,1960-01-04,1960-01-10
72,Elche,ESP,1,1627.14025879,1960-01-11,1960-01-17
69,Elche,ESP,1,1630.28881836,1960-01-18,1960-01-23
68,Elche,ESP,1,1630.28881836,1960-01-24,1960-01-24
62,Elche,ESP,1,1635.57299805,1960-01-25,1960-01-31
61,Elche,ESP,1,1638.7421875,1960-02-01,1960-02-04
62,Elche,ESP,1,1638.17871094,1960-02-05,1960-02-07
62,Elche,ESP,1,1636.85229492,1960-02-08,1960-02-10
60,Elche,ESP,1,1639.9621582,1960-02-11,1960-02-14
72,Elche,ESP,1,1624.37133789,1960-02-15,1960-02-20
73,Elche,ESP,1,1624.37133789,1960-02-21,1960-02-21
74,Elche,ESP,1,1622.79248047,1960-02-22,1960-02-28
69,Elche,ESP,1,1628.20446777,1960-02-29,1960-03-02
67,Elche,ESP,1,1633.19726562,1960-03-03,1960-03-03
66,Elche,ESP,1,1633.19726562,1960-03-04,1960-03-05
67,Elche,ESP,1,1633.19726562,1960-03-06,1960-03-06
69,Elche,ESP,1,1630.55493164,1960-03-07,1960-03-07
68,Elche,ESP,1,1630.55493164,1960-03-08,1960-03-16
70,Elche,ESP,1,1630.55493164,1960-03-17,1960-03-20
74,Elche,ESP,1,1623.47106934,1960-03-21,1960-03-23
73,Elche,ESP,1,1623.47106934,1960-03-24,1960-03-26
72,Elche,ESP,1,1623.47106934,1960-03-27,1960-03-27
68,Elche,ESP,1,1626.77490234,1960-03-28,1960-04-03
56,Elche,ESP,1,1644.19091797,1960-04-04,1960-04-09
54,Elche,ESP,1,1644.19091797,1960-04-10,1960-04-10
55,Elche,ESP,1,1635.56420898,1960-04-11,1960-04-13
58,Elche,ESP,1,1635.56420898,1960-04-14,1960-04-17
62,Elche,ESP,1,1633.04602051,1960-04-18,1960-04-18
61,Elche,ESP,1,1633.04602051,1960-04-19,1960-04-21
62,Elche,ESP,1,1633.04602051,1960-04-22,1960-04-23
63,Elche,ESP,1,1633.04602051,1960-04-24,1960-05-01
62,Elche,ESP,1,1633.04602051,1960-05-02,1960-05-03
63,Elche,ESP,1,1633.04602051,1960-05-04,1960-05-05
65,Elche,ESP,1,1633.04602051,1960-05-06,1960-05-07
63,Elche,ESP,1,1633.04602051,1960-05-08,1960-05-13
60,Elche,ESP,1,1635.46105957,1960-05-14,1960-05-15
61,Elche,ESP,1,1635.46105957,1960-05-16,1960-05-21
63,Elche,ESP,1,1635.46105957,1960-05-22,1960-05-26
64,Elche,ESP,1,1635.46105957,1960-05-27,1960-05-28
63,Elche,ESP,1,1635.46105957,1960-05-29,1960-05-29
64,Elche,ESP,1,1635.46105957,1960-05-30,1960-06-04
63,Elche,ESP,1,1635.46105957,1960-06-05,1960-06-05
64,Elche,ESP,1,1635.46105957,1960-06-06,1960-06-12
62,Elche,ESP,1,1635.46105957,1960-06-13,1960-06-13
61,Elche,ESP,1,1635.46105957,1960-06-14,1960-06-19
62,Elche,ESP,1,1635.46105957,1960-06-20,1960-06-24
63,Elche,ESP,1,1635.46105957,1960-06-25,1960-06-25
62,Elche,ESP,1,1635.46105957,1960-06-26,1960-06-26
61,Elche,ESP,1,1635.46105957,1960-06-27,1960-06-29
60,Elche,ESP,1,1635.46105957,1960-06-30,1960-07-07
63,Elche,ESP,1,1635.46105957,1960-07-08,1960-07-12
64,Elche,ESP,1,1635.46105957,1960-07-13,1960-07-31
66,Elche,ESP,1,1635.46105957,1960-08-01,1960-08-20
64,Elche,ESP,1,1635.46105957,1960-08-21,1960-08-21
65,Elche,ESP,1,1635.46105957,1960-08-22,1960-08-22
64,Elche,ESP,1,1635.46105957,1960-08-23,1960-08-24
65,Elche,ESP,1,1635.46105957,1960-08-25,1960-08-27
66,Elche,ESP,1,1635.46105957,1960-08-28,1960-09-03
68,Elche,ESP,1,1635.46105957,1960-09-04,1960-09-07
69,Elche,ESP,1,1635.46105957,1960-09-08,1960-09-10
68,Elche,ESP,1,1635.46105957,1960-09-11,1960-09-11
67,Elche,ESP,1,1634.20593262,1960-09-12,1960-09-18
63,Elche,ESP,1,1639.31811523,1960-09-19,1960-09-21
62,Elche,ESP,1,1639.31811523,1960-09-22,1960-09-24
61,Elche,ESP,1,1639.31811523,1960-09-25,1960-09-25
65,Elche,ESP,1,1635.49206543,1960-09-26,1960-09-28
65,Elche,ESP,1,1635.48095703,1960-09-29,1960-10-01
63,Elche,ESP,1,1635.48095703,1960-10-02,1960-10-02
58,Elche,ESP,1,1641.37756348,1960-10-03,1960-10-05
60,Elche,ESP,1,1642.03625488,1960-10-06,1960-10-06
61,Elche,ESP,1,1642.03625488,1960-10-07,1960-10-09
60,Elche,ESP,1,1645.48156738,1960-10-10,1960-10-11
61,Elche,ESP,1,1645.48156738,1960-10-12,1960-10-12
58,Elche,ESP,1,1645.48156738,1960-10-13,1960-10-16
