Rank,Club,Country,Level,Elo,From,To
None,Real Madrid,ESP,1,1636.70458984,1939-10-22,1939-12-03
None,Real Madrid,ESP,1,1621.71057129,1939-12-04,1939-12-10
None,Real Madrid,ESP,1,1616.41967773,1939-12-11,1939-12-17
None,Real Madrid,ESP,1,1625.15466309,1939-12-18,1939-12-24
None,Real Madrid,ESP,1,1635.3145752,1939-12-25,1939-12-31
None,Real Madrid,ESP,1,1640.96008301,1940-01-01,1940-01-07
None,Real Madrid,ESP,1,1635.68103027,1940-01-08,1940-01-14
None,Real Madrid,ESP,1,1643.80712891,1940-01-15,1940-01-21
None,Real Madrid,ESP,1,1636.69213867,1940-01-22,1940-01-28
None,Real Madrid,ESP,1,1641.67016602,1940-01-29,1940-02-04
None,Real Madrid,ESP,1,1657.44702148,1940-02-05,1940-02-11
None,Real Madrid,ESP,1,1666.09667969,1940-02-12,1940-02-18
None,Real Madrid,ESP,1,1660.79931641,1940-02-19,1940-02-25
None,Real Madrid,ESP,1,1664.43334961,1940-02-26,1940-03-03
None,Real Madrid,ESP,1,1659.56689453,1940-03-04,1940-03-10
None,Real Madrid,ESP,1,1663.82580566,1940-03-11,1940-03-17
None,Real Madrid,ESP,1,1655.79089355,1940-03-18,1940-03-24
None,Real Madrid,ESP,1,1663.5645752,1940-03-25,1940-03-31
None,Real Madrid,ESP,1,1681.54882812,1940-04-01,1940-04-07
None,Real Madrid,ESP,1,1688.78527832,1940-04-08,1940-04-14
None,Real Madrid,ESP,1,1689.84399414,1940-04-15,1940-04-21
None,Real Madrid,ESP,1,1677.54406738,1940-04-22,1940-04-28
None,Real Madrid,ESP,1,1670.72241211,1940-04-29,1940-09-29
None,Real Madrid,ESP,1,1672.45715332,1940-09-30,1940-10-06
None,Real Madrid,ESP,1,1678.63537598,1940-10-07,1940-10-13
None,Real Madrid,ESP,1,1672.45751953,1940-10-14,1940-10-20
None,Real Madrid,ESP,1,1679.0222168,1940-10-21,1940-10-27
None,Real Madrid,ESP,1,1688.23388672,1940-10-28,1940-11-03
None,Real Madrid,ESP,1,1693.09680176,1940-11-04,1940-11-10
None,Real Madrid,ESP,1,1678.82116699,1940-11-11,1940-11-17
None,Real Madrid,ESP,1,1687.81689453,1940-11-18,1940-11-24
None,Real Madrid,ESP,1,1676.19104004,1940-11-25,1940-12-01
None,Real Madrid,ESP,1,1665.51184082,1940-12-02,1940-12-08
None,Real Madrid,ESP,1,1674.33178711,1940-12-09,1940-12-15
None,Real Madrid,ESP,1,1681.91552734,1940-12-16,1940-12-22
None,Real Madrid,ESP,1,1698.50012207,1940-12-23,1940-12-29
None,Real Madrid,ESP,1,1680.70483398,1940-12-30,1941-01-05
None,Real Madrid,ESP,1,1675.44262695,1941-01-06,1941-01-19
None,Real Madrid,ESP,1,1670.44262695,1941-01-20,1941-01-21
None,Real Madrid,ESP,1,1672.33361816,1941-01-22,1941-01-26
None,Real Madrid,ESP,1,1681.07092285,1941-01-27,1941-02-02
None,Real Madrid,ESP,1,1682.97338867,1941-02-03,1941-02-09
None,Real Madrid,ESP,1,1678.80810547,1941-02-10,1941-02-16
None,Real Madrid,ESP,1,1673.80456543,1941-02-17,1941-02-23
None,Real Madrid,ESP,1,1661.86254883,1941-02-24,1941-03-02
None,Real Madrid,ESP,1,1665.84521484,1941-03-03,1941-03-23
None,Real Madrid,ESP,1,1669.84521484,1941-03-24,1941-09-28
None,Real Madrid,ESP,1,1678.13452148,1941-09-29,1941-10-05
None,Real Madrid,ESP,1,1682.31726074,1941-10-06,1941-10-12
None,Real Madrid,ESP,1,1678.22607422,1941-10-13,1941-10-19
None,Real Madrid,ESP,1,1681.80566406,1941-10-20,1941-10-26
None,Real Madrid,ESP,1,1674.15979004,1941-10-27,1941-11-02
None,Real Madrid,ESP,1,1659.20507812,1941-11-03,1941-11-09
None,Real Madrid,ESP,1,1657.64770508,1941-11-10,1941-11-16
None,Real Madrid,ESP,1,1665.14233398,1941-11-17,1941-11-23
None,Real Madrid,ESP,1,1673.14831543,1941-11-24,1941-11-30
None,Real Madrid,ESP,1,1669.29626465,1941-12-01,1941-12-07
None,Real Madrid,ESP,1,1683.61474609,1941-12-08,1941-12-14
None,Real Madrid,ESP,1,1679.57958984,1941-12-15,1941-12-21
None,Real Madrid,ESP,1,1686.49951172,1941-12-22,1942-01-04
None,Real Madrid,ESP,1,1692.07495117,1942-01-05,1942-01-11
None,Real Madrid,ESP,1,1681.37243652,1942-01-12,1942-01-18
None,Real Madrid,ESP,1,1685.9765625,1942-01-19,1942-01-25
None,Real Madrid,ESP,1,1699.15075684,1942-01-26,1942-02-01
None,Real Madrid,ESP,1,1703.91577148,1942-02-02,1942-02-08
None,Real Madrid,ESP,1,1707.19702148,1942-02-09,1942-02-15
None,Real Madrid,ESP,1,1700.0880127,1942-02-16,1942-02-24
None,Real Madrid,ESP,1,1714.93725586,1942-02-25,1942-03-01
None,Real Madrid,ESP,1,1716.41711426,1942-03-02,1942-03-08
None,Real Madrid,ESP,1,1717.84973145,1942-03-09,1942-03-22
None,Real Madrid,ESP,1,1707.69165039,1942-03-23,1942-03-29
None,Real Madrid,ESP,1,1715.79919434,1942-03-30,1942-04-05
None,Real Madrid,ESP,1,1711.3482666,1942-04-06,1942-04-26
None,Real Madrid,ESP,1,1703.3482666,1942-04-27,1942-09-27
None,Real Madrid,ESP,1,1707.68347168,1942-09-28,1942-10-04
None,Real Madrid,ESP,1,1716.4564209,1942-10-05,1942-10-11
None,Real Madrid,ESP,1,1717.9855957,1942-10-12,1942-10-18
None,Real Madrid,ESP,1,1704.32043457,1942-10-19,1942-10-25
None,Real Madrid,ESP,1,1697.74169922,1942-10-26,1942-11-01
None,Real Madrid,ESP,1,1691.40368652,1942-11-02,1942-11-08
None,Real Madrid,ESP,1,1674.59851074,1942-11-09,1942-11-15
None,Real Madrid,ESP,1,1667.30041504,1942-11-16,1942-11-22
None,Real Madrid,ESP,1,1670.20629883,1942-11-23,1942-11-29
None,Real Madrid,ESP,1,1667.07800293,1942-11-30,1942-12-06
None,Real Madrid,ESP,1,1662.80603027,1942-12-07,1942-12-13
None,Real Madrid,ESP,1,1656.74060059,1942-12-14,1942-12-27
None,Real Madrid,ESP,1,1648.05541992,1942-12-28,1943-01-10
None,Real Madrid,ESP,1,1650.91320801,1943-01-11,1943-01-17
None,Real Madrid,ESP,1,1654.50927734,1943-01-18,1943-01-24
None,Real Madrid,ESP,1,1665.32995605,1943-01-25,1943-01-31
None,Real Madrid,ESP,1,1667.78540039,1943-02-01,1943-02-07
None,Real Madrid,ESP,1,1658.91101074,1943-02-08,1943-02-14
None,Real Madrid,ESP,1,1641.40527344,1943-02-15,1943-02-21
None,Real Madrid,ESP,1,1638.20117188,1943-02-22,1943-02-28
None,Real Madrid,ESP,1,1648.01013184,1943-03-01,1943-03-07
None,Real Madrid,ESP,1,1658.31860352,1943-03-08,1943-03-14
None,Real Madrid,ESP,1,1666.08947754,1943-03-15,1943-03-21
None,Real Madrid,ESP,1,1659.79333496,1943-03-22,1943-03-28
None,Real Madrid,ESP,1,1654.36315918,1943-03-29,1943-04-04
None,Real Madrid,ESP,1,1659.18457031,1943-04-05,1943-09-26
None,Real Madrid,ESP,1,1662.08654785,1943-09-27,1943-10-03
None,Real Madrid,ESP,1,1646.64257812,1943-10-04,1943-10-10
None,Real Madrid,ESP,1,1649.20605469,1943-10-11,1943-10-17
None,Real Madrid,ESP,1,1653.8190918,1943-10-18,1943-10-24
None,Real Madrid,ESP,1,1649.28796387,1943-10-25,1943-11-07
None,Real Madrid,ESP,1,1653.45410156,1943-11-08,1943-11-14
None,Real Madrid,ESP,1,1647.91796875,1943-11-15,1943-11-23
None,Real Madrid,ESP,1,1651.59924316,1943-11-24,1943-11-28
None,Real Madrid,ESP,1,1663.13525391,1943-11-29,1943-12-05
None,Real Madrid,ESP,1,1666.65100098,1943-12-06,1943-12-12
None,Real Madrid,ESP,1,1651.61096191,1943-12-13,1943-12-19
None,Real Madrid,ESP,1,1649.09338379,1943-12-20,1944-01-02
None,Real Madrid,ESP,1,1639.59912109,1944-01-03,1944-01-09
None,Real Madrid,ESP,1,1645.3302002,1944-01-10,1944-01-16
None,Real Madrid,ESP,1,1650.53027344,1944-01-17,1944-01-23
None,Real Madrid,ESP,1,1645.2532959,1944-01-24,1944-01-30
None,Real Madrid,ESP,1,1640.49206543,1944-01-31,1944-02-06
None,Real Madrid,ESP,1,1647.69177246,1944-02-07,1944-02-13
None,Real Madrid,ESP,1,1649.43395996,1944-02-14,1944-02-20
None,Real Madrid,ESP,1,1652.94396973,1944-02-21,1944-03-05
None,Real Madrid,ESP,1,1647.13867188,1944-03-06,1944-03-12
None,Real Madrid,ESP,1,1651.48583984,1944-03-13,1944-03-19
None,Real Madrid,ESP,1,1643.51367188,1944-03-20,1944-03-26
None,Real Madrid,ESP,1,1655.39526367,1944-03-27,1944-04-02
None,Real Madrid,ESP,1,1654.47180176,1944-04-03,1944-04-09
None,Real Madrid,ESP,1,1666.16967773,1944-04-10,1944-09-24
None,Real Madrid,ESP,1,1657.91918945,1944-09-25,1944-10-01
None,Real Madrid,ESP,1,1663.47668457,1944-10-02,1944-10-08
None,Real Madrid,ESP,1,1664.12536621,1944-10-09,1944-10-15
None,Real Madrid,ESP,1,1662.60192871,1944-10-16,1944-10-22
None,Real Madrid,ESP,1,1658.47058105,1944-10-23,1944-10-29
None,Real Madrid,ESP,1,1669.49365234,1944-10-30,1944-11-05
None,Real Madrid,ESP,1,1681.38000488,1944-11-06,1944-11-12
None,Real Madrid,ESP,1,1685.38891602,1944-11-13,1944-11-19
None,Real Madrid,ESP,1,1694.36865234,1944-11-20,1944-11-26
None,Real Madrid,ESP,1,1698.03271484,1944-11-27,1944-12-03
None,Real Madrid,ESP,1,1690.56530762,1944-12-04,1944-12-10
None,Real Madrid,ESP,1,1692.27770996,1944-12-11,1944-12-17
None,Real Madrid,ESP,1,1699.11120605,1944-12-18,1945-01-07
None,Real Madrid,ESP,1,1704.89672852,1945-01-08,1945-01-14
None,Real Madrid,ESP,1,1694.99121094,1945-01-15,1945-01-28
None,Real Madrid,ESP,1,1699.02722168,1945-01-29,1945-02-04
None,Real Madrid,ESP,1,1693.58703613,1945-02-05,1945-02-18
None,Real Madrid,ESP,1,1699.89001465,1945-02-19,1945-02-25
None,Real Madrid,ESP,1,1710.88793945,1945-02-26,1945-03-18
None,Real Madrid,ESP,1,1712.15893555,1945-03-19,1945-03-25
None,Real Madrid,ESP,1,1703.15185547,1945-03-26,1945-04-08
None,Real Madrid,ESP,1,1706.94812012,1945-04-09,1945-04-15
None,Real Madrid,ESP,1,1724.02197266,1945-04-16,1945-04-22
None,Real Madrid,ESP,1,1728.12573242,1945-04-23,1945-05-10
None,Real Madrid,ESP,1,1731.12573242,1945-05-11,1945-05-13
None,Real Madrid,ESP,1,1739.97216797,1945-05-14,1945-05-20
None,Real Madrid,ESP,1,1742.65722656,1945-05-21,1945-09-23
None,Real Madrid,ESP,1,1736.77197266,1945-09-24,1945-09-30
None,Real Madrid,ESP,1,1750.69946289,1945-10-01,1945-10-07
None,Real Madrid,ESP,1,1746.41638184,1945-10-08,1945-10-14
None,Real Madrid,ESP,1,1739.92285156,1945-10-15,1945-10-21
