,Player,,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN EUR),Team,League,Season
0,Arne Maier,,"€ 26,923","€ 1,400,000",DM,22,Starter,"Jun 30, 2021",1-yr,"€ 1,400,000",Arminia Bielefeld,Bundesliga,2020-2021
1,Michel Vlap,,"€ 19,231","€ 1,000,000",AM,23,Reserve,"Jun 30, 2021",1-yr,"€ 1,000,000",Arminia Bielefeld,Bundesliga,2020-2021
2,Mike van der Hoorn,,"€ 14,231","€ 740,000",CB,28,Starter,"Jun 30, 2023",3-yrs,"€ 2,220,000",Arminia Bielefeld,Bundesliga,2020-2021
3,Joakim Nilsson,,"€ 8,846","€ 460,000",CB,26,Reserve,"Jun 30, 2022",2-yrs,"€ 920,000",Arminia Bielefeld,Bundesliga,2020-2021
4,Marcel Hartel,,"€ 8,269","€ 430,000",AM,25,Starter,"Jun 30, 2022",2-yrs,"€ 860,000",Arminia Bielefeld,Bundesliga,2020-2021
5,Cédric Brunner,,"€ 7,500","€ 390,000",RB,26,Starter,"Jun 30, 2022",2-yrs,"€ 780,000",Arminia Bielefeld,Bundesliga,2020-2021
6,Reinhold Yabo,,"€ 7,500","€ 390,000",CM,28,Reserve,"Jun 30, 2022",2-yrs,"€ 780,000",Arminia Bielefeld,Bundesliga,2020-2021
7,Ritsu Doan,,"€ 7,308","€ 380,000",RW,22,Starter,"Jun 30, 2021",1-yr,"€ 380,000",Arminia Bielefeld,Bundesliga,2020-2021
8,Fabian Klos,,"€ 7,115","€ 370,000",CF,33,Starter,"Jun 30, 2021",1-yr,"€ 370,000",Arminia Bielefeld,Bundesliga,2020-2021
9,Jóan Símun Edmundsson,,"€ 6,346","€ 330,000",AM,29,Reserve,"Jun 30, 2021",1-yr,"€ 330,000",Arminia Bielefeld,Bundesliga,2020-2021
10,Sven Schipplock,,"€ 5,962","€ 310,000",CF,32,Reserve,"Jun 30, 2021",1-yr,"€ 310,000",Arminia Bielefeld,Bundesliga,2020-2021
11,Manuel Prietl,,"€ 5,769","€ 300,000",DM,29,Starter,"Jun 30, 2024",4-yrs,"€ 1,200,000",Arminia Bielefeld,Bundesliga,2020-2021
12,Oscar Linnér,,"€ 5,769","€ 300,000",GK,23,Reserve,"Jun 30, 2023",3-yrs,"€ 900,000",Arminia Bielefeld,Bundesliga,2020-2021
13,Stefan Ortega Moreno,,"€ 5,769","€ 300,000",GK,28,Starter,"Jun 30, 2022",2-yrs,"€ 600,000",Arminia Bielefeld,Bundesliga,2020-2021
14,Jacob Barrett Laursen,,"€ 5,385","€ 280,000",LB,26,Reserve,"Jun 30, 2023",3-yrs,"€ 840,000",Arminia Bielefeld,Bundesliga,2020-2021
15,Christian Gebauer,,"€ 4,808","€ 250,000",RW,27,Reserve,"Jun 30, 2023",3-yrs,"€ 750,000",Arminia Bielefeld,Bundesliga,2020-2021
16,Cebio Soukou,,"€ 4,615","€ 240,000",RW,28,Starter,"Jun 30, 2021",1-yr,"€ 240,000",Arminia Bielefeld,Bundesliga,2020-2021
17,Nils Seufert,,"€ 4,615","€ 240,000",CM,23,Reserve,"Jun 30, 2021",1-yr,"€ 240,000",Arminia Bielefeld,Bundesliga,2020-2021
18,Nathan de Medina,,"€ 4,038","€ 210,000",RB,23,Reserve,"Jun 30, 2023",3-yrs,"€ 630,000",Arminia Bielefeld,Bundesliga,2020-2021
19,Sergio Córdova,,"€ 3,846","€ 200,000",CF,23,Reserve,"Jun 30, 2021",1-yr,"€ 200,000",Arminia Bielefeld,Bundesliga,2020-2021
20,Masaya Okugawa,,"€ 3,462","€ 180,000",LM,24,Reserve,"Jun 30, 2021",1-yr,"€ 180,000",Arminia Bielefeld,Bundesliga,2020-2021
21,Andreas Voglsammer,,"€ 3,077","€ 160,000",CF,29,Reserve,"Jun 30, 2021",1-yr,"€ 160,000",Arminia Bielefeld,Bundesliga,2020-2021
22,Jomaine Consbruch,,"€ 2,308","€ 120,000",CM,19,Reserve,"Jun 30, 2023",3-yrs,"€ 360,000",Arminia Bielefeld,Bundesliga,2020-2021
23,Anderson Lucoqui,,"€ 1,923","€ 100,000",LB,23,Starter,"Jun 30, 2021",1-yr,"€ 100,000",Arminia Bielefeld,Bundesliga,2020-2021
24,Amos Pieper,,"€ 1,538","€ 80,000",CB,23,Starter,"Jun 30, 2022",2-yrs,"€ 160,000",Arminia Bielefeld,Bundesliga,2020-2021
25,Nikolai Rehnen,,€ 962,"€ 50,000",GK,23,Reserve,"Jun 30, 2021",1-yr,"€ 50,000",Arminia Bielefeld,Bundesliga,2020-2021
26,Fabian Kunze,,€ 962,"€ 50,000",DM,22,Reserve,"Jun 30, 2022",2-yrs,"€ 100,000",Arminia Bielefeld,Bundesliga,2020-2021
27,Julian Frommann,,€ 577,"€ 30,000",DM,17,Reserve,"Jun 30, 2021",1-yr,"€ 30,000",Arminia Bielefeld,Bundesliga,2020-2021
