id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,cardType,isGoal,periodId,typeId,outcomeTypeId,periodName,typeName,outcomeTypeName,matchId,timeStamp,attendance,venueName,refereeName,weatherCode,startTime,matchDate,finalScore,htScore,ftScore,etScore,pkScore,homeGoals,awayGoals,statusCode,periodCode,homeTeamId,homeTeamName,awayTeamId,awayTeamName,fullFixture ,homeFormationId,homeFormationName,awayFormationId,awayFormationName,name,number,position,isStarter,isManOfTheMatch,finalPlayerRating,finalTeamRating,relatedPlayerName,relatedPlayerNumber,relatedPlayerPosition
1754389012,2,0,0,300,0,0,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 32, 'displayName': 'Start'}","{'value': 1, 'displayName': 'Successful'}",,,False,,,,,,,,,,,,,1,32,1,FirstHalf,Start,Successful,347933,07/03/2010 15:54:41,0,Atleti Azzurri D'Italia,Antonio Giannoccaro,,2010-03-07T14:00:00,2010-03-07,0 : 0,0 : 0,0 : 0,,,0,0,6,-1,300,Atalanta,86,Udinese,2010-03-07: Atalanta (0) vs. Udinese (0),6,4411,4,433,,,,,,,,,,
274627511,2,0,0,86,0,0,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 32, 'displayName': 'Start'}","{'value': 1, 'displayName': 'Successful'}",,,False,,,,,,,,,,,,,1,32,1,FirstHalf,Start,Successful,347933,07/03/2010 15:54:41,0,Atleti Azzurri D'Italia,Antonio Giannoccaro,,2010-03-07T14:00:00,2010-03-07,0 : 0,0 : 0,0 : 0,,,0,0,6,-1,300,Atalanta,86,Udinese,2010-03-07: Atalanta (0) vs. Udinese (0),6,4411,4,433,,,,,,,,,,
2039423659,3,0,1,86,49,50,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '45.3'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '51.0'}","91, 119, 117, 30, 36, 38, 216, 217",True,4018,51.0,45.3,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,347933,07/03/2010 15:54:41,0,Atleti Azzurri D'Italia,Antonio Giannoccaro,,2010-03-07T14:00:00,2010-03-07,0 : 0,0 : 0,0 : 0,,,0,0,6,-1,300,Atalanta,86,Udinese,2010-03-07: Atalanta (0) vs. Udinese (0),6,4411,4,433,Antonio Di Natale,10,FWR,True,False,6.36,6.7,,,
913153220,4,0,3,86,51,47,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '42.4'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '50.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}","91, 117, 30, 35, 37, 216, 217",True,11615,42.4,50.9,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,347933,07/03/2010 15:54:41,0,Atleti Azzurri D'Italia,Antonio Giannoccaro,,2010-03-07T14:00:00,2010-03-07,0 : 0,0 : 0,0 : 0,,,0,0,6,-1,300,Atalanta,86,Udinese,2010-03-07: Atalanta (0) vs. Udinese (0),6,4411,4,433,Paolo Sammarco,14,DC,True,False,6.58,6.7,,,
2109086833,812,0,4,86,42,52,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '36.4'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '82.9'}","91, 117, 30, 35, 37, 216, 217",True,15401,36.4,82.9,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,347933,07/03/2010 15:54:41,0,Atleti Azzurri D'Italia,Antonio Giannoccaro,,2010-03-07T14:00:00,2010-03-07,0 : 0,0 : 0,0 : 0,,,0,0,6,-1,300,Atalanta,86,Udinese,2010-03-07: Atalanta (0) vs. Udinese (0),6,4411,4,433,Gökhan Inler,88,MC,True,False,7.21,6.7,,,
1426183429,5,0,5,86,32,88,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '41.0'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '62.0'}","91, 117, 30, 36, 38, 216, 217",True,5039,41.0,62.0,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,347933,07/03/2010 15:54:41,0,Atleti Azzurri D'Italia,Antonio Giannoccaro,,2010-03-07T14:00:00,2010-03-07,0 : 0,0 : 0,0 : 0,,,0,0,6,-1,300,Atalanta,86,Udinese,2010-03-07: Atalanta (0) vs. Udinese (0),6,4411,4,433,Giovanni Pasquale,26,DC,True,False,6.39,6.7,,,
2003497243,6,0,6,86,41,62,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '95.3'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '59.4'}","91, 119, 117, 30, 36, 37, 216, 217",True,15401,59.4,95.3,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,347933,07/03/2010 15:54:41,0,Atleti Azzurri D'Italia,Antonio Giannoccaro,,2010-03-07T14:00:00,2010-03-07,0 : 0,0 : 0,0 : 0,,,0,0,6,-1,300,Atalanta,86,Udinese,2010-03-07: Atalanta (0) vs. Udinese (0),6,4411,4,433,Gökhan Inler,88,MC,True,False,7.21,6.7,,,
1376268249,823,0,7,86,55,94,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '57.6'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '76.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}","91, 120, 29, 36, 38, 216, 217",True,6077,57.6,76.1,,,,,,,,,,1,1,0,FirstHalf,Pass,Unsuccessful,347933,07/03/2010 15:54:41,0,Atleti Azzurri D'Italia,Antonio Giannoccaro,,2010-03-07T14:00:00,2010-03-07,0 : 0,0 : 0,0 : 0,,,0,0,6,-1,300,Atalanta,86,Udinese,2010-03-07: Atalanta (0) vs. Udinese (0),6,4411,4,433,Antonio Floro Flores,83,FWL,True,False,6.87,6.7,,,
725016321,3,0,8,300,43,26,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 8, 'displayName': 'Interception'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}","91, 101, 56",True,25485,,,,,,,,,,,,1,8,1,FirstHalf,Interception,Successful,347933,07/03/2010 15:54:41,0,Atleti Azzurri D'Italia,Antonio Giannoccaro,,2010-03-07T14:00:00,2010-03-07,0 : 0,0 : 0,0 : 0,,,0,0,6,-1,300,Atalanta,86,Udinese,2010-03-07: Atalanta (0) vs. Udinese (0),6,4411,4,433,Tiberio Guarente,17,MC,True,False,7.78,6.88,,,
953346013,834,0,9,300,45,13,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 49, 'displayName': 'BallRecovery'}","{'value': 1, 'displayName': 'Successful'}",,93,False,10433,,,,,,,,,,,,1,49,1,FirstHalf,BallRecovery,Successful,347933,07/03/2010 15:54:41,0,Atleti Azzurri D'Italia,Antonio Giannoccaro,,2010-03-07T14:00:00,2010-03-07,0 : 0,0 : 0,0 : 0,,,0,0,6,-1,300,Atalanta,86,Udinese,2010-03-07: Atalanta (0) vs. Udinese (0),6,4411,4,433,Ferreira Pinto,79,DC,True,False,6.79,6.88,,,
84921897,835,0,9,300,45,13,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '12.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '57.7'}","91, 119, 117, 30, 36, 38, 216, 217",True,10433,57.7,12.1,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,347933,07/03/2010 15:54:41,0,Atleti Azzurri D'Italia,Antonio Giannoccaro,,2010-03-07T14:00:00,2010-03-07,0 : 0,0 : 0,0 : 0,,,0,0,6,-1,300,Atalanta,86,Udinese,2010-03-07: Atalanta (0) vs. Udinese (0),6,4411,4,433,Ferreira Pinto,79,DC,True,False,6.79,6.88,,,
541498376,5,0,10,300,46,21,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '55.1'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '21.6'}, {'type': {'value': 156, 'displayName': 'LayOff'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}","91, 120, 29, 36, 37, 216, 217",True,151,55.1,21.6,,,,,,,,,,1,1,0,FirstHalf,Pass,Unsuccessful,347933,07/03/2010 15:54:41,0,Atleti Azzurri D'Italia,Antonio Giannoccaro,,2010-03-07T14:00:00,2010-03-07,0 : 0,0 : 0,0 : 0,,,0,0,6,-1,300,Atalanta,86,Udinese,2010-03-07: Atalanta (0) vs. Udinese (0),6,4411,4,433,Cristiano Doni,72,AMC,True,False,7.31,6.88,,,
387090814,824,0,12,86,43,92,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 49, 'displayName': 'BallRecovery'}","{'value': 1, 'displayName': 'Successful'}",,93,False,5039,,,,,,,,,,,,1,49,1,FirstHalf,BallRecovery,Successful,347933,07/03/2010 15:54:41,0,Atleti Azzurri D'Italia,Antonio Giannoccaro,,2010-03-07T14:00:00,2010-03-07,0 : 0,0 : 0,0 : 0,,,0,0,6,-1,300,Atalanta,86,Udinese,2010-03-07: Atalanta (0) vs. Udinese (0),6,4411,4,433,Giovanni Pasquale,26,DC,True,False,6.39,6.7,,,
96075707,813,0,13,86,40,97,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '51.6'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '95.9'}","91, 119, 117, 30, 36, 38, 216, 217",True,5039,51.6,95.9,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,347933,07/03/2010 15:54:41,0,Atleti Azzurri D'Italia,Antonio Giannoccaro,,2010-03-07T14:00:00,2010-03-07,0 : 0,0 : 0,0 : 0,,,0,0,6,-1,300,Atalanta,86,Udinese,2010-03-07: Atalanta (0) vs. Udinese (0),6,4411,4,433,Giovanni Pasquale,26,DC,True,False,6.39,6.7,,,
1943372916,814,0,15,86,52,94,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '66.7'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '98.3'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}","91, 119, 117, 30, 205, 36, 37",True,6077,66.7,98.3,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,347933,07/03/2010 15:54:41,0,Atleti Azzurri D'Italia,Antonio Giannoccaro,,2010-03-07T14:00:00,2010-03-07,0 : 0,0 : 0,0 : 0,,,0,0,6,-1,300,Atalanta,86,Udinese,2010-03-07: Atalanta (0) vs. Udinese (0),6,4411,4,433,Antonio Floro Flores,83,FWL,True,False,6.87,6.7,,,
1222544731,815,0,16,86,65,97,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '76.2'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '86.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}","91, 120, 29, 36, 38",True,5039,76.2,86.1,,,,,,,,,,1,1,0,FirstHalf,Pass,Unsuccessful,347933,07/03/2010 15:54:41,0,Atleti Azzurri D'Italia,Antonio Giannoccaro,,2010-03-07T14:00:00,2010-03-07,0 : 0,0 : 0,0 : 0,,,0,0,6,-1,300,Atalanta,86,Udinese,2010-03-07: Atalanta (0) vs. Udinese (0),6,4411,4,433,Giovanni Pasquale,26,DC,True,False,6.39,6.7,,,
1644603250,7,0,17,300,23,22,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 8, 'displayName': 'Interception'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}","91, 101, 56",True,11348,,,,,,,,,,,,1,8,1,FirstHalf,Interception,Successful,347933,07/03/2010 15:54:41,0,Atleti Azzurri D'Italia,Antonio Giannoccaro,,2010-03-07T14:00:00,2010-03-07,0 : 0,0 : 0,0 : 0,,,0,0,6,-1,300,Atalanta,86,Udinese,2010-03-07: Atalanta (0) vs. Udinese (0),6,4411,4,433,Leonardo Talamonti,2,DL,True,False,6.41,6.88,,,
519093551,836,0,20,300,20,5,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 49, 'displayName': 'BallRecovery'}","{'value': 1, 'displayName': 'Successful'}",,93,False,11348,,,,,,,,,,,,1,49,1,FirstHalf,BallRecovery,Successful,347933,07/03/2010 15:54:41,0,Atleti Azzurri D'Italia,Antonio Giannoccaro,,2010-03-07T14:00:00,2010-03-07,0 : 0,0 : 0,0 : 0,,,0,0,6,-1,300,Atalanta,86,Udinese,2010-03-07: Atalanta (0) vs. Udinese (0),6,4411,4,433,Leonardo Talamonti,2,DL,True,False,6.41,6.88,,,
379096420,8,0,21,300,26,4,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '36.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '4.1'}","91, 118, 120, 29, 36, 38, 216, 217",True,11348,36.8,4.1,,,,,,,,,,1,1,0,FirstHalf,Pass,Unsuccessful,347933,07/03/2010 15:54:41,0,Atleti Azzurri D'Italia,Antonio Giannoccaro,,2010-03-07T14:00:00,2010-03-07,0 : 0,0 : 0,0 : 0,,,0,0,6,-1,300,Atalanta,86,Udinese,2010-03-07: Atalanta (0) vs. Udinese (0),6,4411,4,433,Leonardo Talamonti,2,DL,True,False,6.41,6.88,,,
1071194259,9,0,22,86,65,98,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 9, 'displayName': 'Turnover'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}",91,True,5039,,,,,,,,,,,,1,9,1,FirstHalf,Turnover,Successful,347933,07/03/2010 15:54:41,0,Atleti Azzurri D'Italia,Antonio Giannoccaro,,2010-03-07T14:00:00,2010-03-07,0 : 0,0 : 0,0 : 0,,,0,0,6,-1,300,Atalanta,86,Udinese,2010-03-07: Atalanta (0) vs. Udinese (0),6,4411,4,433,Giovanni Pasquale,26,DC,True,False,6.39,6.7,,,
1140205239,10,0,25,300,35,0,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '9.8'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '41.5'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 107, 'displayName': 'ThrowIn'}}","212, 36, 37, 216, 217",False,12492,41.5,9.8,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,347933,07/03/2010 15:54:41,0,Atleti Azzurri D'Italia,Antonio Giannoccaro,,2010-03-07T14:00:00,2010-03-07,0 : 0,0 : 0,0 : 0,,,0,0,6,-1,300,Atalanta,86,Udinese,2010-03-07: Atalanta (0) vs. Udinese (0),6,4411,4,433,György Garics,8,DR,True,False,7.72,6.88,,,
9094006,11,0,28,86,57,88,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 4, 'displayName': 'Foul'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 13, 'displayName': 'Foul'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}",64,False,15401,,,,,,,,,,,,1,4,0,FirstHalf,Foul,Unsuccessful,347933,07/03/2010 15:54:41,0,Atleti Azzurri D'Italia,Antonio Giannoccaro,,2010-03-07T14:00:00,2010-03-07,0 : 0,0 : 0,0 : 0,,,0,0,6,-1,300,Atalanta,86,Udinese,2010-03-07: Atalanta (0) vs. Udinese (0),6,4411,4,433,Gökhan Inler,88,MC,True,False,7.21,6.7,,,
1093666881,11,0,28,300,41,9,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 4, 'displayName': 'Foul'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 13, 'displayName': 'Foul'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}",63,False,151,,,,,,,,,,,,1,4,1,FirstHalf,Foul,Successful,347933,07/03/2010 15:54:41,0,Atleti Azzurri D'Italia,Antonio Giannoccaro,,2010-03-07T14:00:00,2010-03-07,0 : 0,0 : 0,0 : 0,,,0,0,6,-1,300,Atalanta,86,Udinese,2010-03-07: Atalanta (0) vs. Udinese (0),6,4411,4,433,Cristiano Doni,72,AMC,True,False,7.31,6.88,,,
920169642,12,0,38,300,41,30,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '28.7'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '58.7'}, {'type': {'value': 5, 'displayName': 'FreekickTaken'}}","91, 117, 30, 132, 35, 37, 215, 217",True,1963,28.7,58.7,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,347933,07/03/2010 15:54:41,0,Atleti Azzurri D'Italia,Antonio Giannoccaro,,2010-03-07T14:00:00,2010-03-07,0 : 0,0 : 0,0 : 0,,,0,0,6,-1,300,Atalanta,86,Udinese,2010-03-07: Atalanta (0) vs. Udinese (0),6,4411,4,433,Sergio Volpi,74,MR,True,False,7.05,6.88,,,
2102583108,13,0,42,300,31,65,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '68.6'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '57.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}","91, 119, 117, 30, 36, 37, 216, 217",True,1657,57.9,68.6,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,347933,07/03/2010 15:54:41,0,Atleti Azzurri D'Italia,Antonio Giannoccaro,,2010-03-07T14:00:00,2010-03-07,0 : 0,0 : 0,0 : 0,,,0,0,6,-1,300,Atalanta,86,Udinese,2010-03-07: Atalanta (0) vs. Udinese (0),6,4411,4,433,Thomas Manfredini,5,MC,True,True,7.93,6.88,,,
1613434198,14,0,44,300,57,68,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '68.5'}, {'type': {'value': 156, 'displayName': 'LayOff'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '48.0'}","91, 118, 120, 29, 35, 38, 216, 217",True,12141,48.0,68.5,,,,,,,,,,1,1,0,FirstHalf,Pass,Unsuccessful,347933,07/03/2010 15:54:41,0,Atleti Azzurri D'Italia,Antonio Giannoccaro,,2010-03-07T14:00:00,2010-03-07,0 : 0,0 : 0,0 : 0,,,0,0,6,-1,300,Atalanta,86,Udinese,2010-03-07: Atalanta (0) vs. Udinese (0),6,4411,4,433,Jaime Valdés,20,FW,True,False,7.16,6.88,,,
172868977,15,0,47,300,42,95,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '44.0'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '73.7'}","91, 117, 30, 36, 38, 216, 217",True,6638,44.0,73.7,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,347933,07/03/2010 15:54:41,0,Atleti Azzurri D'Italia,Antonio Giannoccaro,,2010-03-07T14:00:00,2010-03-07,0 : 0,0 : 0,0 : 0,,,0,0,6,-1,300,Atalanta,86,Udinese,2010-03-07: Atalanta (0) vs. Udinese (0),6,4411,4,433,Gianpaolo Bellini,6,DC,True,False,6.72,6.88,,,
1814763344,16,0,50,300,51,82,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '96.7'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '59.4'}","91, 119, 117, 30, 36, 37, 216, 217",True,12141,59.4,96.7,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,347933,07/03/2010 15:54:41,0,Atleti Azzurri D'Italia,Antonio Giannoccaro,,2010-03-07T14:00:00,2010-03-07,0 : 0,0 : 0,0 : 0,,,0,0,6,-1,300,Atalanta,86,Udinese,2010-03-07: Atalanta (0) vs. Udinese (0),6,4411,4,433,Jaime Valdés,20,FW,True,False,7.16,6.88,,,
348175896,17,0,51,300,60,95,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '65.5'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '77.9'}","91, 119, 117, 30, 36, 38, 216, 217",True,6638,65.5,77.9,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,347933,07/03/2010 15:54:41,0,Atleti Azzurri D'Italia,Antonio Giannoccaro,,2010-03-07T14:00:00,2010-03-07,0 : 0,0 : 0,0 : 0,,,0,0,6,-1,300,Atalanta,86,Udinese,2010-03-07: Atalanta (0) vs. Udinese (0),6,4411,4,433,Gianpaolo Bellini,6,DC,True,False,6.72,6.88,,,
257692073,18,0,53,300,65,77,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '65.2'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '67.2'}","91, 119, 117, 30, 35, 38, 216, 217",True,151,65.2,67.2,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,347933,07/03/2010 15:54:41,0,Atleti Azzurri D'Italia,Antonio Giannoccaro,,2010-03-07T14:00:00,2010-03-07,0 : 0,0 : 0,0 : 0,,,0,0,6,-1,300,Atalanta,86,Udinese,2010-03-07: Atalanta (0) vs. Udinese (0),6,4411,4,433,Cristiano Doni,72,AMC,True,False,7.31,6.88,,,
1979887344,19,0,57,300,64,62,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '55.0'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '89.4'}, {'type': {'value': 4, 'displayName': 'Throughball'}}, {'type': {'value': 155, 'displayName': 'Chipped'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}","91, 120, 29, 124, 130, 36, 38",True,12141,89.4,55.0,,,,,,,,,,1,1,0,FirstHalf,Pass,Unsuccessful,347933,07/03/2010 15:54:41,0,Atleti Azzurri D'Italia,Antonio Giannoccaro,,2010-03-07T14:00:00,2010-03-07,0 : 0,0 : 0,0 : 0,,,0,0,6,-1,300,Atalanta,86,Udinese,2010-03-07: Atalanta (0) vs. Udinese (0),6,4411,4,433,Jaime Valdés,20,FW,True,False,7.16,6.88,,,
361114415,12,0,59,86,6,48,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 52, 'displayName': 'KeeperPickup'}","{'value': 1, 'displayName': 'Successful'}",,"91, 93",True,9972,,,,,,,,,,,,1,52,1,FirstHalf,KeeperPickup,Successful,347933,07/03/2010 15:54:41,0,Atleti Azzurri D'Italia,Antonio Giannoccaro,,2010-03-07T14:00:00,2010-03-07,0 : 0,0 : 0,0 : 0,,,0,0,6,-1,300,Atalanta,86,Udinese,2010-03-07: Atalanta (0) vs. Udinese (0),6,4411,4,433,Samir Handanovic,22,GK,True,False,6.78,6.7,,,
1417560609,13,1,16,86,13,38,1,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '67.4'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '65.9'}, {'type': {'value': 1, 'displayName': 'Longball'}}","91, 120, 128, 36, 37",True,9972,67.4,65.9,,,,,,,,,,1,1,0,FirstHalf,Pass,Unsuccessful,347933,07/03/2010 15:54:41,0,Atleti Azzurri D'Italia,Antonio Giannoccaro,,2010-03-07T14:00:00,2010-03-07,0 : 0,0 : 0,0 : 0,,,0,0,6,-1,300,Atalanta,86,Udinese,2010-03-07: Atalanta (0) vs. Udinese (0),6,4411,4,433,Samir Handanovic,22,GK,True,False,6.78,6.7,,,
