id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,cardType,isGoal,periodId,typeId,outcomeTypeId,periodName,typeName,outcomeTypeName,matchId,timeStamp,attendance,venueName,refereeName,weatherCode,startTime,matchDate,finalScore,htScore,ftScore,etScore,pkScore,homeGoals,awayGoals,statusCode,periodCode,homeTeamId,homeTeamName,awayTeamId,awayTeamName,fullFixture ,homeFormationId,homeFormationName,awayFormationId,awayFormationName,name,number,position,isStarter,isManOfTheMatch,finalPlayerRating,finalTeamRating,relatedPlayerName,relatedPlayerNumber,relatedPlayerPosition
135515243,2,0,0,86,0,0,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 32, 'displayName': 'Start'}","{'value': 1, 'displayName': 'Successful'}",,,False,,,,,,,,,,,,,1,32,1,FirstHalf,Start,Successful,347454,18/10/2009 15:49:54,0,Friuli,Nicola Pierpaoli,,2009-10-18T14:00:00,2009-10-18,1 : 3,1 : 1,1 : 3,,,1,3,6,-1,86,Udinese,300,Atalanta,2009-10-18: Udinese (1) vs. Atalanta (3),2,442,2,442,,,,,,,,,,
694290701,2,0,0,300,0,0,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 32, 'displayName': 'Start'}","{'value': 1, 'displayName': 'Successful'}",,,False,,,,,,,,,,,,,1,32,1,FirstHalf,Start,Successful,347454,18/10/2009 15:49:54,0,Friuli,Nicola Pierpaoli,,2009-10-18T14:00:00,2009-10-18,1 : 3,1 : 1,1 : 3,,,1,3,6,-1,86,Udinese,300,Atalanta,2009-10-18: Udinese (1) vs. Atalanta (3),2,442,2,442,,,,,,,,,,
2079009018,3,0,1,86,50,51,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '47.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '51.0'}","91, 119, 117, 30, 36, 38, 216, 217",True,2073,51.0,47.8,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,347454,18/10/2009 15:49:54,0,Friuli,Nicola Pierpaoli,,2009-10-18T14:00:00,2009-10-18,1 : 3,1 : 1,1 : 3,,,1,3,6,-1,86,Udinese,300,Atalanta,2009-10-18: Udinese (1) vs. Atalanta (3),2,442,2,442,Bernardo Corradi,9,FW,True,False,6.48,6.73,,,
1636074300,4,0,2,86,51,47,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '54.7'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '33.7'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}","91, 117, 30, 35, 37, 216, 217",True,25244,33.7,54.7,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,347454,18/10/2009 15:49:54,0,Friuli,Nicola Pierpaoli,,2009-10-18T14:00:00,2009-10-18,1 : 3,1 : 1,1 : 3,,,1,3,6,-1,86,Udinese,300,Atalanta,2009-10-18: Udinese (1) vs. Atalanta (3),2,442,2,442,Alexis Sánchez,11,ML,True,False,7.99,6.73,,,
1983989699,5,0,4,86,33,55,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '23.4'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '63.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}","91, 117, 30, 35, 37, 215, 217",True,2836,23.4,63.9,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,347454,18/10/2009 15:49:54,0,Friuli,Nicola Pierpaoli,,2009-10-18T14:00:00,2009-10-18,1 : 3,1 : 1,1 : 3,,,1,3,6,-1,86,Udinese,300,Atalanta,2009-10-18: Udinese (1) vs. Atalanta (3),2,442,2,442,Gaetano D'Agostino,21,MC,True,False,6.68,6.73,,,
1038094665,6,0,7,86,24,62,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '34.4'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '27.2'}","91, 117, 30, 36, 38, 215, 217",True,5680,27.2,34.4,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,347454,18/10/2009 15:49:54,0,Friuli,Nicola Pierpaoli,,2009-10-18T14:00:00,2009-10-18,1 : 3,1 : 1,1 : 3,,,1,3,6,-1,86,Udinese,300,Atalanta,2009-10-18: Udinese (1) vs. Atalanta (3),2,442,2,442,Maurizio Domizzi,80,MC,True,False,6.62,6.73,,,
2106224512,7,0,8,86,27,34,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '90.2'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '30.0'}","91, 117, 127, 36, 37, 215, 217",True,14066,30.0,90.2,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,347454,18/10/2009 15:49:54,0,Friuli,Nicola Pierpaoli,,2009-10-18T14:00:00,2009-10-18,1 : 3,1 : 1,1 : 3,,,1,3,6,-1,86,Udinese,300,Atalanta,2009-10-18: Udinese (1) vs. Atalanta (3),2,442,2,442,Andrea Coda,13,DL,True,False,6.45,6.73,,,
529413715,8,0,11,86,30,86,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '86.3'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '63.9'}, {'type': {'value': 155, 'displayName': 'Chipped'}}","91, 119, 117, 30, 124, 36, 38, 216, 217",True,18743,63.9,86.3,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,347454,18/10/2009 15:49:54,0,Friuli,Nicola Pierpaoli,,2009-10-18T14:00:00,2009-10-18,1 : 3,1 : 1,1 : 3,,,1,3,6,-1,86,Udinese,300,Atalanta,2009-10-18: Udinese (1) vs. Atalanta (3),2,442,2,442,Aleksander Lukovic,24,DC,True,False,6.24,6.73,,,
1999663178,3,0,15,300,38,24,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '45.4'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '9.8'}","91, 117, 30, 139, 36, 38, 216, 217",True,15845,45.4,9.8,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,347454,18/10/2009 15:49:54,0,Friuli,Nicola Pierpaoli,,2009-10-18T14:00:00,2009-10-18,1 : 3,1 : 1,1 : 3,,,1,3,6,-1,86,Udinese,300,Atalanta,2009-10-18: Udinese (1) vs. Atalanta (3),2,442,2,442,Maximiliano Pellegrino,26,DL,True,False,6.98,7.25,,,
1946985386,9,0,16,86,63,86,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '96.4'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '59.9'}, {'type': {'value': 156, 'displayName': 'LayOff'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}","91, 119, 117, 30, 35, 37, 216, 217",True,2073,59.9,96.4,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,347454,18/10/2009 15:49:54,0,Friuli,Nicola Pierpaoli,,2009-10-18T14:00:00,2009-10-18,1 : 3,1 : 1,1 : 3,,,1,3,6,-1,86,Udinese,300,Atalanta,2009-10-18: Udinese (1) vs. Atalanta (3),2,442,2,442,Bernardo Corradi,9,FW,True,False,6.48,6.73,,,
1403399604,855,0,17,86,64,95,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '69.4'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '85.3'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}","91, 120, 29, 36, 38",True,9894,69.4,85.3,,,,,,,,,,1,1,0,FirstHalf,Pass,Unsuccessful,347454,18/10/2009 15:49:54,0,Friuli,Nicola Pierpaoli,,2009-10-18T14:00:00,2009-10-18,1 : 3,1 : 1,1 : 3,,,1,3,6,-1,86,Udinese,300,Atalanta,2009-10-18: Udinese (1) vs. Atalanta (3),2,442,2,442,Simone Pepe,7,FW,True,False,7.11,6.73,,,
1879265166,4,0,18,300,45,9,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 9, 'displayName': 'Turnover'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}",91,True,23043,,,,,,,,,,,,1,9,1,FirstHalf,Turnover,Successful,347454,18/10/2009 15:49:54,0,Friuli,Nicola Pierpaoli,,2009-10-18T14:00:00,2009-10-18,1 : 3,1 : 1,1 : 3,,,1,3,6,-1,86,Udinese,300,Atalanta,2009-10-18: Udinese (1) vs. Atalanta (3),2,442,2,442,Simone Padoin,22,DC,True,False,6.51,7.25,,,
1783341610,10,0,20,86,51,91,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '96.1'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '56.6'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}","91, 119, 117, 30, 36, 37, 216, 217",True,18743,56.6,96.1,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,347454,18/10/2009 15:49:54,0,Friuli,Nicola Pierpaoli,,2009-10-18T14:00:00,2009-10-18,1 : 3,1 : 1,1 : 3,,,1,3,6,-1,86,Udinese,300,Atalanta,2009-10-18: Udinese (1) vs. Atalanta (3),2,442,2,442,Aleksander Lukovic,24,DC,True,False,6.24,6.73,,,
386829889,12,0,21,86,54,96,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '85.3'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '57.2'}","91, 119, 117, 30, 36, 38, 216, 217",True,9894,57.2,85.3,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,347454,18/10/2009 15:49:54,0,Friuli,Nicola Pierpaoli,,2009-10-18T14:00:00,2009-10-18,1 : 3,1 : 1,1 : 3,,,1,3,6,-1,86,Udinese,300,Atalanta,2009-10-18: Udinese (1) vs. Atalanta (3),2,442,2,442,Simone Pepe,7,FW,True,False,7.11,6.73,,,
1026692093,13,0,22,86,57,85,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 50, 'displayName': 'Dispossessed'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}","91, 70",True,2073,,,,,,,,,,,,1,50,1,FirstHalf,Dispossessed,Successful,347454,18/10/2009 15:49:54,0,Friuli,Nicola Pierpaoli,,2009-10-18T14:00:00,2009-10-18,1 : 3,1 : 1,1 : 3,,,1,3,6,-1,86,Udinese,300,Atalanta,2009-10-18: Udinese (1) vs. Atalanta (3),2,442,2,442,Bernardo Corradi,9,FW,True,False,6.48,6.73,,,
331353589,5,0,22,300,39,32,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 7, 'displayName': 'Tackle'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}","91, 143",True,25485,,,,,,,,,,,,1,7,1,FirstHalf,Tackle,Successful,347454,18/10/2009 15:49:54,0,Friuli,Nicola Pierpaoli,,2009-10-18T14:00:00,2009-10-18,1 : 3,1 : 1,1 : 3,,,1,3,6,-1,86,Udinese,300,Atalanta,2009-10-18: Udinese (1) vs. Atalanta (3),2,442,2,442,Tiberio Guarente,17,MC,True,False,6.81,7.25,,,
589233126,6,0,25,300,46,16,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 9, 'displayName': 'Turnover'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}",91,True,23043,,,,,,,,,,,,1,9,1,FirstHalf,Turnover,Successful,347454,18/10/2009 15:49:54,0,Friuli,Nicola Pierpaoli,,2009-10-18T14:00:00,2009-10-18,1 : 3,1 : 1,1 : 3,,,1,3,6,-1,86,Udinese,300,Atalanta,2009-10-18: Udinese (1) vs. Atalanta (3),2,442,2,442,Simone Padoin,22,DC,True,False,6.51,7.25,,,
321343808,15,0,32,86,54,100,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '68.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '83.8'}, {'type': {'value': 107, 'displayName': 'ThrowIn'}}","212, 36, 38",False,18743,68.8,83.8,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,347454,18/10/2009 15:49:54,0,Friuli,Nicola Pierpaoli,,2009-10-18T14:00:00,2009-10-18,1 : 3,1 : 1,1 : 3,,,1,3,6,-1,86,Udinese,300,Atalanta,2009-10-18: Udinese (1) vs. Atalanta (3),2,442,2,442,Aleksander Lukovic,24,DC,True,False,6.24,6.73,,,
1438309723,16,0,34,86,69,83,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '64.5'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '65.9'}, {'type': {'value': 156, 'displayName': 'LayOff'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}","91, 119, 117, 30, 35, 38, 216, 217",True,2073,64.5,65.9,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,347454,18/10/2009 15:49:54,0,Friuli,Nicola Pierpaoli,,2009-10-18T14:00:00,2009-10-18,1 : 3,1 : 1,1 : 3,,,1,3,6,-1,86,Udinese,300,Atalanta,2009-10-18: Udinese (1) vs. Atalanta (3),2,442,2,442,Bernardo Corradi,9,FW,True,False,6.48,6.73,,,
888897562,17,0,39,86,66,44,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '69.3'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '18.7'}","91, 119, 117, 30, 205, 36, 38",True,25244,69.3,18.7,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,347454,18/10/2009 15:49:54,0,Friuli,Nicola Pierpaoli,,2009-10-18T14:00:00,2009-10-18,1 : 3,1 : 1,1 : 3,,,1,3,6,-1,86,Udinese,300,Atalanta,2009-10-18: Udinese (1) vs. Atalanta (3),2,442,2,442,Alexis Sánchez,11,ML,True,False,7.99,6.73,,,
905154551,18,0,41,86,67,19,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '27.4'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '70.5'}","91, 120, 29, 36, 37",True,10334,70.5,27.4,,,,,,,,,,1,1,0,FirstHalf,Pass,Unsuccessful,347454,18/10/2009 15:49:54,0,Friuli,Nicola Pierpaoli,,2009-10-18T14:00:00,2009-10-18,1 : 3,1 : 1,1 : 3,,,1,3,6,-1,86,Udinese,300,Atalanta,2009-10-18: Udinese (1) vs. Atalanta (3),2,442,2,442,Francesco Lodi,84,DC,True,False,7.78,6.73,,,
297044903,8,0,42,300,32,85,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 49, 'displayName': 'BallRecovery'}","{'value': 1, 'displayName': 'Successful'}",,93,False,25485,,,,,,,,,,,,1,49,1,FirstHalf,BallRecovery,Successful,347454,18/10/2009 15:49:54,0,Friuli,Nicola Pierpaoli,,2009-10-18T14:00:00,2009-10-18,1 : 3,1 : 1,1 : 3,,,1,3,6,-1,86,Udinese,300,Atalanta,2009-10-18: Udinese (1) vs. Atalanta (3),2,442,2,442,Tiberio Guarente,17,MC,True,False,6.81,7.25,,,
278317168,728,0,45,300,26,71,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '83.2'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '30.5'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}","91, 118, 120, 29, 36, 37, 215, 217",True,25485,30.5,83.2,,,,,,,,,,1,1,0,FirstHalf,Pass,Unsuccessful,347454,18/10/2009 15:49:54,0,Friuli,Nicola Pierpaoli,,2009-10-18T14:00:00,2009-10-18,1 : 3,1 : 1,1 : 3,,,1,3,6,-1,86,Udinese,300,Atalanta,2009-10-18: Udinese (1) vs. Atalanta (3),2,442,2,442,Tiberio Guarente,17,MC,True,False,6.81,7.25,,,
399991971,19,0,46,86,79,7,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 8, 'displayName': 'Interception'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}","91, 101, 56",True,14751,,,,,,,,,,,,1,8,1,FirstHalf,Interception,Successful,347454,18/10/2009 15:49:54,0,Friuli,Nicola Pierpaoli,,2009-10-18T14:00:00,2009-10-18,1 : 3,1 : 1,1 : 3,,,1,3,6,-1,86,Udinese,300,Atalanta,2009-10-18: Udinese (1) vs. Atalanta (3),2,442,2,442,Dusan Basta,8,DR,True,False,7.25,6.73,,,
176286149,856,0,46,86,81,8,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 49, 'displayName': 'BallRecovery'}","{'value': 1, 'displayName': 'Successful'}",,93,False,14751,,,,,,,,,,,,1,49,1,FirstHalf,BallRecovery,Successful,347454,18/10/2009 15:49:54,0,Friuli,Nicola Pierpaoli,,2009-10-18T14:00:00,2009-10-18,1 : 3,1 : 1,1 : 3,,,1,3,6,-1,86,Udinese,300,Atalanta,2009-10-18: Udinese (1) vs. Atalanta (3),2,442,2,442,Dusan Basta,8,DR,True,False,7.25,6.73,,,
867579043,11,0,47,86,56,95,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 3, 'displayName': 'TakeOn'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}","91, 54",True,14751,,,,,,,,,,,,1,3,1,FirstHalf,TakeOn,Successful,347454,18/10/2009 15:49:54,0,Friuli,Nicola Pierpaoli,,2009-10-18T14:00:00,2009-10-18,1 : 3,1 : 1,1 : 3,,,1,3,6,-1,86,Udinese,300,Atalanta,2009-10-18: Udinese (1) vs. Atalanta (3),2,442,2,442,Dusan Basta,8,DR,True,False,7.25,6.73,,,
133778928,727,0,47,300,25,86,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 45, 'displayName': 'Challenge'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}",55,False,12141,,,,,,,,,,,,1,45,0,FirstHalf,Challenge,Unsuccessful,347454,18/10/2009 15:49:54,0,Friuli,Nicola Pierpaoli,,2009-10-18T14:00:00,2009-10-18,1 : 3,1 : 1,1 : 3,,,1,3,6,-1,86,Udinese,300,Atalanta,2009-10-18: Udinese (1) vs. Atalanta (3),2,442,2,442,Jaime Valdés,20,FW,True,True,8.6,7.25,,,
1948709621,20,0,48,86,99,16,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '21.7'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '87.5'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}","91, 119, 117, 30, 205, 35, 37",True,14751,87.5,21.7,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,347454,18/10/2009 15:49:54,0,Friuli,Nicola Pierpaoli,,2009-10-18T14:00:00,2009-10-18,1 : 3,1 : 1,1 : 3,,,1,3,6,-1,86,Udinese,300,Atalanta,2009-10-18: Udinese (1) vs. Atalanta (3),2,442,2,442,Dusan Basta,8,DR,True,False,7.25,6.73,,,
1146038210,21,0,51,86,87,21,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '20.3'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '81.8'}","91, 119, 117, 30, 205, 35, 38",True,25244,81.8,20.3,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,347454,18/10/2009 15:49:54,0,Friuli,Nicola Pierpaoli,,2009-10-18T14:00:00,2009-10-18,1 : 3,1 : 1,1 : 3,,,1,3,6,-1,86,Udinese,300,Atalanta,2009-10-18: Udinese (1) vs. Atalanta (3),2,442,2,442,Alexis Sánchez,11,ML,True,False,7.99,6.73,,,
1143350054,9,0,51,300,11,57,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 12, 'displayName': 'Clearance'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 15, 'displayName': 'Head'}}","91, 94, 95, 57",True,18723,,,,,,,,,,,,1,12,1,FirstHalf,Clearance,Successful,347454,18/10/2009 15:49:54,0,Friuli,Nicola Pierpaoli,,2009-10-18T14:00:00,2009-10-18,1 : 3,1 : 1,1 : 3,,,1,3,6,-1,86,Udinese,300,Atalanta,2009-10-18: Udinese (1) vs. Atalanta (3),2,442,2,442,Federico Peluso,13,MC,True,False,7.51,7.25,,,
1908687606,22,0,53,86,82,20,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 2, 'displayName': 'Cross'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '85.9'}, {'type': {'value': 155, 'displayName': 'Chipped'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '32.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}","91, 124, 126, 36, 37",True,10334,85.9,32.9,,,,,,,,,,1,1,0,FirstHalf,Pass,Unsuccessful,347454,18/10/2009 15:49:54,0,Friuli,Nicola Pierpaoli,,2009-10-18T14:00:00,2009-10-18,1 : 3,1 : 1,1 : 3,,,1,3,6,-1,86,Udinese,300,Atalanta,2009-10-18: Udinese (1) vs. Atalanta (3),2,442,2,442,Francesco Lodi,84,DC,True,False,7.78,6.73,,,
731808436,23,0,56,86,62,17,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 4, 'displayName': 'Foul'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 13, 'displayName': 'Foul'}}",64,False,14066,,,,,,,,,,,,1,4,0,FirstHalf,Foul,Unsuccessful,347454,18/10/2009 15:49:54,0,Friuli,Nicola Pierpaoli,,2009-10-18T14:00:00,2009-10-18,1 : 3,1 : 1,1 : 3,,,1,3,6,-1,86,Udinese,300,Atalanta,2009-10-18: Udinese (1) vs. Atalanta (3),2,442,2,442,Andrea Coda,13,DL,True,False,6.45,6.73,,,
166974948,10,0,56,300,35,68,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 4, 'displayName': 'Foul'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 13, 'displayName': 'Foul'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}",63,False,151,,,,,,,,,,,,1,4,1,FirstHalf,Foul,Successful,347454,18/10/2009 15:49:54,0,Friuli,Nicola Pierpaoli,,2009-10-18T14:00:00,2009-10-18,1 : 3,1 : 1,1 : 3,,,1,3,6,-1,86,Udinese,300,Atalanta,2009-10-18: Udinese (1) vs. Atalanta (3),2,442,2,442,Cristiano Doni,72,ML,True,False,8.37,7.25,,,
997722997,760,1,18,300,32,66,1,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '9.8'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '66.5'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 5, 'displayName': 'FreekickTaken'}}, {'type': {'value': 155, 'displayName': 'Chipped'}}","91, 119, 117, 124, 127, 132, 36, 38, 216, 217",True,18723,66.5,9.8,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,347454,18/10/2009 15:49:54,0,Friuli,Nicola Pierpaoli,,2009-10-18T14:00:00,2009-10-18,1 : 3,1 : 1,1 : 3,,,1,3,6,-1,86,Udinese,300,Atalanta,2009-10-18: Udinese (1) vs. Atalanta (3),2,442,2,442,Federico Peluso,13,MC,True,False,7.51,7.25,,,
1261944744,761,1,21,300,65,9,1,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 44, 'displayName': 'Aerial'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}",197,False,23043,,,,,,,,,,,,1,44,1,FirstHalf,Aerial,Successful,347454,18/10/2009 15:49:54,0,Friuli,Nicola Pierpaoli,,2009-10-18T14:00:00,2009-10-18,1 : 3,1 : 1,1 : 3,,,1,3,6,-1,86,Udinese,300,Atalanta,2009-10-18: Udinese (1) vs. Atalanta (3),2,442,2,442,Simone Padoin,22,DC,True,False,6.51,7.25,,,
