club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Sheffield United,James Beattie,29,Centre-Forward,Everton,£4.50m,in,Summer,4.5,Championship,2007,2007/2008
Sheffield United,Billy Sharp,21,Centre-Forward,Scunthorpe Utd.,£2.70m,in,Summer,2.7,Championship,2007,2007/2008
Sheffield United,Gary Naysmith,28,Left-Back,Everton,£1.35m,in,Summer,1.35,Championship,2007,2007/2008
Sheffield United,David Carney,23,Left Winger,Sydney FC,£45Th.,in,Summer,0.045,Championship,2007,2007/2008
Sheffield United,Phil Bardsley,22,Right-Back,Man Utd,Loan,in,Summer,0,Championship,2007,2007/2008
Sheffield United,Gary Cahill,21,Centre-Back,Aston Villa,Loan,in,Summer,0,Championship,2007,2007/2008
Sheffield United,Lee Hendrie,30,Left Midfield,Aston Villa,Free transfer,in,Summer,0,Championship,2007,2007/2008
Sheffield United,Maxime Chanot,17,Centre-Back,Stade Reims B,Free transfer,in,Summer,0,Championship,2007,2007/2008
Sheffield United,Sékou Souaré,24,Defensive Midfield,JC Abidjan,?,in,Summer,NA,Championship,2007,2007/2008
Sheffield United,Rafe Wolfe,21,Right-Back,Portmore United,?,in,Summer,NA,Championship,2007,2007/2008
Sheffield United,Ryan Cresswell,19,Centre-Back,Rotherham,"End of loanOct 1, 2007",in,Summer,0,Championship,2007,2007/2008
Sheffield United,Jordan Robertson,20,Centre-Forward,Oldham Athletic,"End of loanApr 1, 2008",in,Summer,0,Championship,2007,2007/2008
Sheffield United,Matthew Lowton,18,Right-Back,Sheff Utd U18,-,in,Summer,0,Championship,2007,2007/2008
Sheffield United,Nicky Travis,20,Right Midfield,Sheff Utd U18,-,in,Summer,0,Championship,2007,2007/2008
Sheffield United,Kyle Naughton,18,Right-Back,Sheff Utd U18,-,in,Summer,0,Championship,2007,2007/2008
Sheffield United,Ben Starosta,21,Right-Back,Bradford,"End of loanMay 1, 2008",in,Summer,0,Championship,2007,2007/2008
Sheffield United,Jamie Annerson,19,Goalkeeper,Chesterfield FC,"End of loanMay 1, 2008",in,Summer,0,Championship,2007,2007/2008
Sheffield United,Chris Lucketti,36,Centre-Back,Southampton,"End of loanMay 1, 2008",in,Summer,0,Championship,2007,2007/2008
Sheffield United,Lee Hendrie,31,Left Midfield,Leicester,"End of loanMay 31, 2008",in,Summer,0,Championship,2007,2007/2008
Sheffield United,Kyle Naughton,19,Right-Back,Gretna,"End of loanMay 1, 2008",in,Summer,0,Championship,2007,2007/2008
Sheffield United,Ryan Cresswell,20,Centre-Back,Macclesfield,"End of loanMay 1, 2008",in,Summer,0,Championship,2007,2007/2008
Sheffield United,Paul Gerrard,35,Goalkeeper,Blackpool,"End of loanMay 8, 2008",in,Summer,0,Championship,2007,2007/2008
Sheffield United,Geoff Horsfield,34,Centre-Forward,Scunthorpe Utd.,"End of loanMay 1, 2008",in,Summer,0,Championship,2007,2007/2008
Sheffield United,Jonathan Forte,20,Centre-Forward,Doncaster,"End of loanJun 30, 2007",in,Summer,0,Championship,2007,2007/2008
Sheffield United,Lloyd Kerry,18,Right Midfield,Torquay United,"End of loanJun 30, 2007",in,Summer,0,Championship,2007,2007/2008
Sheffield United,Ian Ross,21,Central Midfield,Notts County,"End of loanJun 30, 2007",in,Summer,0,Championship,2007,2007/2008
Sheffield United,Phil Jagielka,24,Centre-Back,Everton,£5.40m,out,Summer,5.4,Championship,2007,2007/2008
Sheffield United,Claude Davis,28,Centre-Back,Derby,£4.05m,out,Summer,4.05,Championship,2007,2007/2008
Sheffield United,Colin Kazim-Richards,20,Centre-Forward,Fenerbahce,£1.71m,out,Summer,1.71,Championship,2007,2007/2008
Sheffield United,Mikele Leigertwood,24,Defensive Midfield,QPR,£1.22m,out,Summer,1.22,Championship,2007,2007/2008
Sheffield United,Ahmed Fathi,22,Right-Back,El Ahly,£630Th.,out,Summer,0.63,Championship,2007,2007/2008
Sheffield United,Christian Nadé,22,Centre-Forward,Heart of Midl.,£540Th.,out,Summer,0.54,Championship,2007,2007/2008
Sheffield United,Travis Binnion,21,Defender,IFK Mariehamn,Free transfer,out,Summer,0,Championship,2007,2007/2008
Sheffield United,Jordan Robertson,19,Centre-Forward,Dundee United,Loan,out,Summer,0,Championship,2007,2007/2008
Sheffield United,Evan Horwood,21,Left-Back,Gretna,Loan,out,Summer,0,Championship,2007,2007/2008
Sheffield United,Matthew Lowton,18,Right-Back,Sheffield FC,Loan,out,Summer,0,Championship,2007,2007/2008
Sheffield United,Ryan Cresswell,19,Centre-Back,Rotherham,Loan,out,Summer,0,Championship,2007,2007/2008
Sheffield United,Jamie Annerson,19,Goalkeeper,Rotherham,Loan,out,Summer,0,Championship,2007,2007/2008
Sheffield United,Nicky Law,19,Attacking Midfield,Bradford,Loan,out,Summer,0,Championship,2007,2007/2008
Sheffield United,Ben Starosta,20,Right-Back,Brentford,Loan,out,Summer,0,Championship,2007,2007/2008
Sheffield United,Nicky Travis,20,Right Midfield,Chesterfield FC,Loan,out,Summer,0,Championship,2007,2007/2008
Sheffield United,Dean Oliver,19,Centre-Forward,Halifax Town,Loan,out,Summer,0,Championship,2007,2007/2008
Sheffield United,Kyle McFadzean,20,Centre-Back,Alfreton,Free transfer,out,Summer,0,Championship,2007,2007/2008
Sheffield United,Rob Kozluk,29,Right-Back,Barnsley FC,Free transfer,out,Summer,0,Championship,2007,2007/2008
Sheffield United,Jonathan Forte,20,Centre-Forward,Scunthorpe Utd.,Free transfer,out,Summer,0,Championship,2007,2007/2008
Sheffield United,David Sommeil,32,Centre-Back,Valenciennes FC,Free transfer,out,Summer,0,Championship,2007,2007/2008
Sheffield United,Sékou Souaré,24,Defensive Midfield,CD Blades,?,out,Summer,NA,Championship,2007,2007/2008
Sheffield United,Craig Short,39,Centre-Back,Retired,-,out,Summer,0,Championship,2007,2007/2008
Sheffield United,David Cotterill,20,Right Winger,Wigan,"End of loanMay 1, 2008",out,Summer,0,Championship,2007,2007/2008
Sheffield United,John Halls,26,Defensive Midfield,Reading,"End of loanMay 1, 2008",out,Summer,0,Championship,2007,2007/2008
Sheffield United,Gary Speed,38,Left Midfield,Bolton,"End of loanMay 1, 2008",out,Summer,0,Championship,2007,2007/2008
Sheffield United,Lee Martin,21,Attacking Midfield,Man Utd,"End of loanMay 1, 2008",out,Summer,0,Championship,2007,2007/2008
Sheffield United,Aislan,19,Centre-Back,FC São Paulo B,"End of loanJun 1, 2007",out,Summer,0,Championship,2007,2007/2008
Charlton Athletic,Luke Varney,24,Left Winger,Crewe Alexandra,£3.33m,in,Summer,3.33,Championship,2007,2007/2008
Charlton Athletic,Izale McLeod,22,Centre-Forward,MK Dons,£1.49m,in,Summer,1.49,Championship,2007,2007/2008
